🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
👩🏾‍💼	ailtire, bainisteoir, bean, bóna bán, gnó, oibrí oifige baineann, oibrí oifige baineann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👩🏿‍💼	ailtire, bainisteoir, bean, bóna bán, gnó, oibrí oifige baineann, oibrí oifige baineann: ton cnis dorcha, ton cnis dorcha
👨🏻‍🔬	bitheolaí, ceimiceoir, eolaí, eolaí fireann, eolaí fireann: ton cnis geal, fear, fiscieoir, innealtoir, ton cnis geal
👨🏼‍🔬	bitheolaí, ceimiceoir, eolaí, eolaí fireann, eolaí fireann: ton cnis meánach-gheal, fear, fiscieoir, innealtoir, ton cnis meánach-gheal
👨🏽‍🔬	bitheolaí, ceimiceoir, eolaí, eolaí fireann, eolaí fireann: ton cnis meánach, fear, fiscieoir, innealtoir, ton cnis meánach
👨🏾‍🔬	bitheolaí, ceimiceoir, eolaí, eolaí fireann, eolaí fireann: ton cnis meánach-dhorcha, fear, fiscieoir, innealtoir, ton cnis meánach-dhorcha
👨🏿‍🔬	bitheolaí, ceimiceoir, eolaí, eolaí fireann, eolaí fireann: ton cnis dorcha, fear, fiscieoir, innealtoir, ton cnis dorcha
👩🏻‍🔬	bean, bitheolaí, ceimiceoir, eolaí, eolaí baineann, eolaí baineann: ton cnis geal, fisiceoir, innealtóir, ton cnis geal
👩🏼‍🔬	bean, bitheolaí, ceimiceoir, eolaí, eolaí baineann, eolaí baineann: ton cnis meánach-gheal, fisiceoir, innealtóir, ton cnis meánach-gheal
👩🏽‍🔬	bean, bitheolaí, ceimiceoir, eolaí, eolaí baineann, eolaí baineann: ton cnis meánach, fisiceoir, innealtóir, ton cnis meánach
👩🏾‍🔬	bean, bitheolaí, ceimiceoir, eolaí, eolaí baineann, eolaí baineann: ton cnis meánach-dhorcha, fisiceoir, innealtóir, ton cnis meánach-dhorcha
👩🏿‍🔬	bean, bitheolaí, ceimiceoir, eolaí, eolaí baineann, eolaí baineann: ton cnis dorcha, fisiceoir, innealtóir, ton cnis dorcha
👨🏻‍💻	bogearraí, cruthaitheoir, códóir, fear, forbróir, teicneolaí, teicneolaí fireann, teicneolaí fireann: ton cnis geal, ton cnis geal
👨🏼‍💻	bogearraí, cruthaitheoir, códóir, fear, forbróir, teicneolaí, teicneolaí fireann, teicneolaí fireann: ton cnis meánach-gheal, ton cnis meánach-gheal
👨🏽‍💻	bogearraí, cruthaitheoir, códóir, fear, forbróir, teicneolaí, teicneolaí fireann, teicneolaí fireann: ton cnis meánach, ton cnis meánach
👨🏾‍💻	bogearraí, cruthaitheoir, códóir, fear, forbróir, teicneolaí, teicneolaí fireann, teicneolaí fireann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👨🏿‍💻	bogearraí, cruthaitheoir, códóir, fear, forbróir, teicneolaí, teicneolaí fireann, teicneolaí fireann: ton cnis dorcha, ton cnis dorcha
👩🏻‍💻	aireagóir, baineann, bean, bogearraí, códóir, forbróir, teicneolaí, teicneolaí baineann: ton cnis geal, ton cnis geal
👩🏼‍💻	aireagóir, baineann, bean, bogearraí, códóir, forbróir, teicneolaí, teicneolaí baineann: ton cnis meánach-gheal, ton cnis meánach-gheal
👩🏽‍💻	aireagóir, baineann, bean, bogearraí, códóir, forbróir, teicneolaí, teicneolaí baineann: ton cnis meánach, ton cnis meánach
👩🏾‍💻	aireagóir, baineann, bean, bogearraí, códóir, forbróir, teicneolaí, teicneolaí baineann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👩🏿‍💻	aireagóir, baineann, bean, bogearraí, códóir, forbróir, teicneolaí, teicneolaí baineann: ton cnis dorcha, ton cnis dorcha
👨🏻‍🎤	aisteoir, amhránaí, amhránaí fireann, amhránaí fireann: ton cnis geal, fear, roc, siamóir, ton cnis geal
👨🏼‍🎤	aisteoir, amhránaí, amhránaí fireann, amhránaí fireann: ton cnis meánach-gheal, fear, roc, siamóir, ton cnis meánach-gheal
👨🏽‍🎤	aisteoir, amhránaí, amhránaí fireann, amhránaí fireann: ton cnis meánach, fear, roc, siamóir, ton cnis meánach
👨🏾‍🎤	aisteoir, amhránaí, amhránaí fireann, amhránaí fireann: ton cnis meánach-dhorcha, fear, roc, siamóir, ton cnis meánach-dhorcha
👨🏿‍🎤	aisteoir, amhránaí, amhránaí fireann, amhránaí fireann: ton cnis dorcha, fear, roc, siamóir, ton cnis dorcha
👩🏻‍🎤	aisteoir, amhránaí, amhránaí baineann: ton cnis geal, baineann, bean, raic, réalta, siamsóir, ton cnis geal
👩🏼‍🎤	aisteoir, amhránaí, amhránaí baineann: ton cnis meánach-gheal, baineann, bean, raic, réalta, siamsóir, ton cnis meánach-gheal
👩🏽‍🎤	aisteoir, amhránaí, amhránaí baineann: ton cnis meánach, baineann, bean, raic, réalta, siamsóir, ton cnis meánach
👩🏾‍🎤	aisteoir, amhránaí, amhránaí baineann: ton cnis meánach-dhorcha, baineann, bean, raic, réalta, siamsóir, ton cnis meánach-dhorcha
👩🏿‍🎤	aisteoir, amhránaí, amhránaí baineann: ton cnis dorcha, baineann, bean, raic, réalta, siamsóir, ton cnis dorcha
👨🏻‍🎨	ealaíontóir, ealaíontóir fearann: ton cnis geal, fear, fearann, pailéad, ton cnis geal
👨🏼‍🎨	ealaíontóir, ealaíontóir fearann: ton cnis meánach-gheal, fear, fearann, pailéad, ton cnis meánach-gheal
👨🏽‍🎨	ealaíontóir, ealaíontóir fearann: ton cnis meánach, fear, fearann, pailéad, ton cnis meánach
👨🏾‍🎨	ealaíontóir, ealaíontóir fearann: ton cnis meánach-dhorcha, fear, fearann, pailéad, ton cnis meánach-dhorcha
👨🏿‍🎨	ealaíontóir, ealaíontóir fearann: ton cnis dorcha, fear, fearann, pailéad, ton cnis dorcha
👩🏻‍🎨	baineann, bean, ealaíontóir, ealaíontóir baineann: ton cnis geal, pailéad, ton cnis geal
👩🏼‍🎨	baineann, bean, ealaíontóir, ealaíontóir baineann: ton cnis meánach-gheal, pailéad, ton cnis meánach-gheal
👩🏽‍🎨	baineann, bean, ealaíontóir, ealaíontóir baineann: ton cnis meánach, pailéad, ton cnis meánach
👩🏾‍🎨	baineann, bean, ealaíontóir, ealaíontóir baineann: ton cnis meánach-dhorcha, pailéad, ton cnis meánach-dhorcha
👩🏿‍🎨	baineann, bean, ealaíontóir, ealaíontóir baineann: ton cnis dorcha, pailéad, ton cnis dorcha
👨🏻‍✈	eitleán, fear, fearann, píolóta, píolóta fireann, píolóta fireann: ton cnis geal, ton cnis geal
👨🏼‍✈	eitleán, fear, fearann, píolóta, píolóta fireann, píolóta fireann: ton cnis meánach-gheal, ton cnis meánach-gheal
👨🏽‍✈	eitleán, fear, fearann, píolóta, píolóta fireann, píolóta fireann: ton cnis meánach, ton cnis meánach
👨🏾‍✈	eitleán, fear, fearann, píolóta, píolóta fireann, píolóta fireann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👨🏿‍✈	eitleán, fear, fearann, píolóta, píolóta fireann, píolóta fireann: ton cnis dorcha, ton cnis dorcha
👩🏻‍✈	baineann, bean, eitleán, píolóta, píolóta baineann: ton cnis geal, ton cnis geal
👩🏼‍✈	baineann, bean, eitleán, píolóta, píolóta baineann: ton cnis meánach-gheal, ton cnis meánach-gheal
👩🏽‍✈	baineann, bean, eitleán, píolóta, píolóta baineann: ton cnis meánach, ton cnis meánach
👩🏾‍✈	baineann, bean, eitleán, píolóta, píolóta baineann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👩🏿‍✈	baineann, bean, eitleán, píolóta, píolóta baineann: ton cnis dorcha, ton cnis dorcha
👨🏻‍🚀	fear, fearann, roicéad, spáis, spásaire, spásaire fireann, spásaire fireann: ton cnis geal, ton cnis geal
👨🏼‍🚀	fear, fearann, roicéad, spáis, spásaire, spásaire fireann, spásaire fireann: ton cnis meánach-gheal, ton cnis meánach-gheal
👨🏽‍🚀	fear, fearann, roicéad, spáis, spásaire, spásaire fireann, spásaire fireann: ton cnis meánach, ton cnis meánach
👨🏾‍🚀	fear, fearann, roicéad, spáis, spásaire, spásaire fireann, spásaire fireann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👨🏿‍🚀	fear, fearann, roicéad, spáis, spásaire, spásaire fireann, spásaire fireann: ton cnis dorcha, ton cnis dorcha
👩🏻‍🚀	bean, fearann, roicéad, spáis, spásaire, spásaire baineann, spásaire baineann: ton cnis geal, ton cnis geal
👩🏼‍🚀	bean, fearann, roicéad, spáis, spásaire, spásaire baineann, spásaire baineann: ton cnis meánach-gheal, ton cnis meánach-gheal
👩🏽‍🚀	bean, fearann, roicéad, spáis, spásaire, spásaire baineann, spásaire baineann: ton cnis meánach, ton cnis meánach
👩🏾‍🚀	bean, fearann, roicéad, spáis, spásaire, spásaire baineann, spásaire baineann: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👩🏿‍🚀	bean, fearann, roicéad, spáis, spásaire, spásaire baineann, spásaire baineann: ton cnis dorcha, ton cnis dorcha
👨🏻‍🚒	fear, fear múchta dóiteán, fear múchta dóiteán: ton cnis geal, fearann, inneall dóiteáin, múchta dóiteán, ton cnis geal
👨🏼‍🚒	fear, fear múchta dóiteán, fear múchta dóiteán: ton cnis meánach-gheal, fearann, inneall dóiteáin, múchta dóiteán, ton cnis meánach-gheal
👨🏽‍🚒	fear, fear múchta dóiteán, fear múchta dóiteán: ton cnis meánach, fearann, inneall dóiteáin, múchta dóiteán, ton cnis meánach
👨🏾‍🚒	fear, fear múchta dóiteán, fear múchta dóiteán: ton cnis meánach-dhorcha, fearann, inneall dóiteáin, múchta dóiteán, ton cnis meánach-dhorcha
👨🏿‍🚒	fear, fear múchta dóiteán, fear múchta dóiteán: ton cnis dorcha, fearann, inneall dóiteáin, múchta dóiteán, ton cnis dorcha
👩🏻‍🚒	baineann, bean, bean mhúchta dóiteán, bean mhúchta dóiteán: ton cnis geal, inneall dóiteáin, múchta dóiteán, ton cnis geal
👩🏼‍🚒	baineann, bean, bean mhúchta dóiteán, bean mhúchta dóiteán: ton cnis meánach-gheal, inneall dóiteáin, múchta dóiteán, ton cnis meánach-gheal
👩🏽‍🚒	baineann, bean, bean mhúchta dóiteán, bean mhúchta dóiteán: ton cnis meánach, inneall dóiteáin, múchta dóiteán, ton cnis meánach
👩🏾‍🚒	baineann, bean, bean mhúchta dóiteán, bean mhúchta dóiteán: ton cnis meánach-dhorcha, inneall dóiteáin, múchta dóiteán, ton cnis meánach-dhorcha
👩🏿‍🚒	baineann, bean, bean mhúchta dóiteán, bean mhúchta dóiteán: ton cnis dorcha, inneall dóiteáin, múchta dóiteán, ton cnis dorcha
👮🏻	duine, garda, póilín, póilín: ton cnis geal, póilíní, ton cnis geal
👮🏼	duine, garda, póilín, póilín: ton cnis meánach-gheal, póilíní, ton cnis meánach-gheal
👮🏽	duine, garda, póilín, póilín: ton cnis meánach, póilíní, ton cnis meánach
👮🏾	duine, garda, póilín, póilín: ton cnis meánach-dhorcha, póilíní, ton cnis meánach-dhorcha
👮🏿	duine, garda, póilín, póilín: ton cnis dorcha, póilíní, ton cnis dorcha
👮🏻‍♂	fear, fearann, garda, garda: ton cnis geal, gardaí, oifigeach, ton cnis geal
👮🏼‍♂	fear, fearann, garda, garda: ton cnis meánach-gheal, gardaí, oifigeach, ton cnis meánach-gheal
👮🏽‍♂	fear, fearann, garda, garda: ton cnis meánach, gardaí, oifigeach, ton cnis meánach
👮🏾‍♂	fear, fearann, garda, garda: ton cnis meánach-dhorcha, gardaí, oifigeach, ton cnis meánach-dhorcha
👮🏿‍♂	fear, fearann, garda, garda: ton cnis dorcha, gardaí, oifigeach, ton cnis dorcha
👮🏻‍♀	baineann, bangharda, bangharda: ton cnis geal, bean, garda, gardaí, oifigeach, ton cnis geal
👮🏼‍♀	baineann, bangharda, bangharda: ton cnis meánach-gheal, bean, garda, gardaí, oifigeach, ton cnis meánach-gheal
👮🏽‍♀	baineann, bangharda, bangharda: ton cnis meánach, bean, garda, gardaí, oifigeach, ton cnis meánach
👮🏾‍♀	baineann, bangharda, bangharda: ton cnis meánach-dhorcha, bean, garda, gardaí, oifigeach, ton cnis meánach-dhorcha
👮🏿‍♀	baineann, bangharda, bangharda: ton cnis dorcha, bean, garda, gardaí, oifigeach, ton cnis dorcha
🕵🏻	bleachtaire, bleachtaire: ton cnis geal, lorgaire, spiaire, ton cnis geal
🕵🏼	bleachtaire, bleachtaire: ton cnis meánach-gheal, lorgaire, spiaire, ton cnis meánach-gheal
🕵🏽	bleachtaire, bleachtaire: ton cnis meánach, lorgaire, spiaire, ton cnis meánach
🕵🏾	bleachtaire, bleachtaire: ton cnis meánach-dhorcha, lorgaire, spiaire, ton cnis meánach-dhorcha
🕵🏿	bleachtaire, bleachtaire: ton cnis dorcha, lorgaire, spiaire, ton cnis dorcha
🕵🏻‍♂	bleachtaire, bleachtaire fireann, bleachtaire fireann: ton cnis geal, fear, fearann, lorgaire, spiaire, ton cnis geal
🕵🏼‍♂	bleachtaire, bleachtaire fireann, bleachtaire fireann: ton cnis meánach-gheal, fear, fearann, lorgaire, spiaire, ton cnis meánach-gheal
🕵🏽‍♂	bleachtaire, bleachtaire fireann, bleachtaire fireann: ton cnis meánach, fear, fearann, lorgaire, spiaire, ton cnis meánach
🕵🏾‍♂	bleachtaire, bleachtaire fireann, bleachtaire fireann: ton cnis meánach-dhorcha, fear, fearann, lorgaire, spiaire, ton cnis meánach-dhorcha
🕵🏿‍♂	bleachtaire, bleachtaire fireann, bleachtaire fireann: ton cnis dorcha, fear, fearann, lorgaire, spiaire, ton cnis dorcha
🕵🏻‍♀	baineann, bean, bleachtaire, bleachtaire baineann: ton cnis geal, lorgaire, spiaire, ton cnis geal
🕵🏼‍♀	baineann, bean, bleachtaire, bleachtaire baineann: ton cnis meánach-gheal, lorgaire, spiaire, ton cnis meánach-gheal
🕵🏽‍♀	baineann, bean, bleachtaire, bleachtaire baineann: ton cnis meánach, lorgaire, spiaire, ton cnis meánach
🕵🏾‍♀	baineann, bean, bleachtaire, bleachtaire baineann: ton cnis meánach-dhorcha, lorgaire, spiaire, ton cnis meánach-dhorcha
🕵🏿‍♀	baineann, bean, bleachtaire, bleachtaire baineann: ton cnis dorcha, lorgaire, spiaire, ton cnis dorcha
💂🏻	garda, garda an rí, garda an rí: ton cnis geal, saighdiúir, ton cnis geal
💂🏼	garda, garda an rí, garda an rí: ton cnis meánach-gheal, saighdiúir, ton cnis meánach-gheal
💂🏽	garda, garda an rí, garda an rí: ton cnis meánach, saighdiúir, ton cnis meánach
💂🏾	garda, garda an rí, garda an rí: ton cnis meánach-dhorcha, saighdiúir, ton cnis meánach-dhorcha
💂🏿	garda, garda an rí, garda an rí: ton cnis dorcha, saighdiúir, ton cnis dorcha
💂🏻‍♂	fear, fearann, garda, garda oifigeach, garda oifigeach: ton cnis geal, ton cnis geal
💂🏼‍♂	fear, fearann, garda, garda oifigeach, garda oifigeach: ton cnis meánach-gheal, ton cnis meánach-gheal
💂🏽‍♂	fear, fearann, garda, garda oifigeach, garda oifigeach: ton cnis meánach, ton cnis meánach
💂🏾‍♂	fear, fearann, garda, garda oifigeach, garda oifigeach: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
💂🏿‍♂	fear, fearann, garda, garda oifigeach, garda oifigeach: ton cnis dorcha, ton cnis dorcha
💂🏻‍♀	baineann, bangharda oifigeach, bangharda oifigeach: ton cnis geal, bean, garda, ton cnis geal
💂🏼‍♀	baineann, bangharda oifigeach, bangharda oifigeach: ton cnis meánach-gheal, bean, garda, ton cnis meánach-gheal
💂🏽‍♀	baineann, bangharda oifigeach, bangharda oifigeach: ton cnis meánach, bean, garda, ton cnis meánach
💂🏾‍♀	baineann, bangharda oifigeach, bangharda oifigeach: ton cnis meánach-dhorcha, bean, garda, ton cnis meánach-dhorcha
💂🏿‍♀	baineann, bangharda oifigeach, bangharda oifigeach: ton cnis dorcha, bean, garda, ton cnis dorcha
👷🏻	oibrí tógála, ton cnis geal, tógálaí, tógálaí: ton cnis geal
👷🏼	oibrí tógála, ton cnis meánach-gheal, tógálaí, tógálaí: ton cnis meánach-gheal
👷🏽	oibrí tógála, ton cnis meánach, tógálaí, tógálaí: ton cnis meánach
👷🏾	oibrí tógála, ton cnis meánach-dhorcha, tógálaí, tógálaí: ton cnis meánach-dhorcha
👷🏿	oibrí tógála, ton cnis dorcha, tógálaí, tógálaí: ton cnis dorcha
👷🏻‍♂	fear, fearann, foirgníocht, oibrí, oibrí foirgníochta fearann, ton cnis geal, tógálaí fireann, tógálaí fireann: ton cnis geal
👷🏼‍♂	fear, fearann, foirgníocht, oibrí, oibrí foirgníochta fearann, ton cnis meánach-gheal, tógálaí fireann, tógálaí fireann: ton cnis meánach-gheal
👷🏽‍♂	fear, fearann, foirgníocht, oibrí, oibrí foirgníochta fearann, ton cnis meánach, tógálaí fireann, tógálaí fireann: ton cnis meánach
👷🏾‍♂	fear, fearann, foirgníocht, oibrí, oibrí foirgníochta fearann, ton cnis meánach-dhorcha, tógálaí fireann, tógálaí fireann: ton cnis meánach-dhorcha
👷🏿‍♂	fear, fearann, foirgníocht, oibrí, oibrí foirgníochta fearann, ton cnis dorcha, tógálaí fireann, tógálaí fireann: ton cnis dorcha
👷🏻‍♀	baineann, bean, foirgníocht, oibrí, oibrí foirgníochta baineann, ton cnis geal, tógálaí baineann, tógálaí baineann: ton cnis geal
👷🏼‍♀	baineann, bean, foirgníocht, oibrí, oibrí foirgníochta baineann, ton cnis meánach-gheal, tógálaí baineann, tógálaí baineann: ton cnis meánach-gheal
👷🏽‍♀	baineann, bean, foirgníocht, oibrí, oibrí foirgníochta baineann, ton cnis meánach, tógálaí baineann, tógálaí baineann: ton cnis meánach
👷🏾‍♀	baineann, bean, foirgníocht, oibrí, oibrí foirgníochta baineann, ton cnis meánach-dhorcha, tógálaí baineann, tógálaí baineann: ton cnis meánach-dhorcha
👷🏿‍♀	baineann, bean, foirgníocht, oibrí, oibrí foirgníochta baineann, ton cnis dorcha, tógálaí baineann, tógálaí baineann: ton cnis dorcha
🤴🏻	prionsa, prionsa: ton cnis geal, ton cnis geal
🤴🏼	prionsa, prionsa: ton cnis meánach-gheal, ton cnis meánach-gheal
🤴🏽	prionsa, prionsa: ton cnis meánach, ton cnis meánach
🤴🏾	prionsa, prionsa: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🤴🏿	prionsa, prionsa: ton cnis dorcha, ton cnis dorcha
👸🏻	banphrionsa, banphrionsa: ton cnis geal, síscéal, ton cnis geal
👸🏼	banphrionsa, banphrionsa: ton cnis meánach-gheal, síscéal, ton cnis meánach-gheal
👸🏽	banphrionsa, banphrionsa: ton cnis meánach, síscéal, ton cnis meánach
👸🏾	banphrionsa, banphrionsa: ton cnis meánach-dhorcha, síscéal, ton cnis meánach-dhorcha
👸🏿	banphrionsa, banphrionsa: ton cnis dorcha, síscéal, ton cnis dorcha
👳🏻	duine le turban air, duine le turban air: ton cnis geal, fear le turban air, ton cnis geal, turban
👳🏼	duine le turban air, duine le turban air: ton cnis meánach-gheal, fear le turban air, ton cnis meánach-gheal, turban
👳🏽	duine le turban air, duine le turban air: ton cnis meánach, fear le turban air, ton cnis meánach, turban
👳🏾	duine le turban air, duine le turban air: ton cnis meánach-dhorcha, fear le turban air, ton cnis meánach-dhorcha, turban
👳🏿	duine le turban air, duine le turban air: ton cnis dorcha, fear le turban air, ton cnis dorcha, turban
👳🏻‍♂	fear, fear le turban, fear le turban air, fear le turban air: ton cnis geal, fearann, ton cnis geal, turban
👳🏼‍♂	fear, fear le turban, fear le turban air, fear le turban air: ton cnis meánach-gheal, fearann, ton cnis meánach-gheal, turban
👳🏽‍♂	fear, fear le turban, fear le turban air, fear le turban air: ton cnis meánach, fearann, ton cnis meánach, turban
👳🏾‍♂	fear, fear le turban, fear le turban air, fear le turban air: ton cnis meánach-dhorcha, fearann, ton cnis meánach-dhorcha, turban
👳🏿‍♂	fear, fear le turban, fear le turban air, fear le turban air: ton cnis dorcha, fearann, ton cnis dorcha, turban
👳🏻‍♀	baineann, bean, bean le turban, bean le turban uirthi, bean le turban uirthi: ton cnis geal, ton cnis geal, turban
👳🏼‍♀	baineann, bean, bean le turban, bean le turban uirthi, bean le turban uirthi: ton cnis meánach-gheal, ton cnis meánach-gheal, turban
👳🏽‍♀	baineann, bean, bean le turban, bean le turban uirthi, bean le turban uirthi: ton cnis meánach, ton cnis meánach, turban
👳🏾‍♀	baineann, bean, bean le turban, bean le turban uirthi, bean le turban uirthi: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha, turban
👳🏿‍♀	baineann, bean, bean le turban, bean le turban uirthi, bean le turban uirthi: ton cnis dorcha, ton cnis dorcha, turban
👲🏻	fear le gua pi mao air, fear le gua pi mao air: ton cnis geal, fear le hata air, hata, ton cnis geal
👲🏼	fear le gua pi mao air, fear le gua pi mao air: ton cnis meánach-gheal, fear le hata air, hata, ton cnis meánach-gheal
👲🏽	fear le gua pi mao air, fear le gua pi mao air: ton cnis meánach, fear le hata air, hata, ton cnis meánach
👲🏾	fear le gua pi mao air, fear le gua pi mao air: ton cnis meánach-dhorcha, fear le hata air, hata, ton cnis meánach-dhorcha
👲🏿	fear le gua pi mao air, fear le gua pi mao air: ton cnis dorcha, fear le hata air, hata, ton cnis dorcha
🧕🏻	bean le caifirín, bean le caifirín: ton cnis geal, caifirín, hijab, ton cnis geal
🧕🏼	bean le caifirín, bean le caifirín: ton cnis meánach-gheal, caifirín, hijab, ton cnis meánach-gheal
🧕🏽	bean le caifirín, bean le caifirín: ton cnis meánach, caifirín, hijab, ton cnis meánach
🧕🏾	bean le caifirín, bean le caifirín: ton cnis meánach-dhorcha, caifirín, hijab, ton cnis meánach-dhorcha
🧕🏿	bean le caifirín, bean le caifirín: ton cnis dorcha, caifirín, hijab, ton cnis dorcha
🧔🏻	duine féasógach, duine féasógach: ton cnis geal, féasóg, ton cnis geal
🧔🏼	duine féasógach, duine féasógach: ton cnis meánach-gheal, féasóg, ton cnis meánach-gheal
🧔🏽	duine féasógach, duine féasógach: ton cnis meánach, féasóg, ton cnis meánach
🧔🏾	duine féasógach, duine féasógach: ton cnis meánach-dhorcha, féasóg, ton cnis meánach-dhorcha
🧔🏿	duine féasógach, duine féasógach: ton cnis dorcha, féasóg, ton cnis dorcha
👱🏻	duine fionn, duine fionn: ton cnis geal, fionn, gruaig fhionn, ton cnis geal
👱🏼	duine fionn, duine fionn: ton cnis meánach-gheal, fionn, gruaig fhionn, ton cnis meánach-gheal
👱🏽	duine fionn, duine fionn: ton cnis meánach, fionn, gruaig fhionn, ton cnis meánach
👱🏾	duine fionn, duine fionn: ton cnis meánach-dhorcha, fionn, gruaig fhionn, ton cnis meánach-dhorcha
👱🏿	duine fionn, duine fionn: ton cnis dorcha, fionn, gruaig fhionn, ton cnis dorcha
👱🏻‍♂	fear, fear fionn: ton cnis geal, fearann, fionn, ton cnis geal
👱🏼‍♂	fear, fear fionn: ton cnis meánach-gheal, fearann, fionn, ton cnis meánach-gheal
👱🏽‍♂	fear, fear fionn: ton cnis meánach, fearann, fionn, ton cnis meánach
👱🏾‍♂	fear, fear fionn: ton cnis meánach-dhorcha, fearann, fionn, ton cnis meánach-dhorcha
👱🏿‍♂	fear, fear fionn: ton cnis dorcha, fearann, fionn, ton cnis dorcha
👱🏻‍♀	baineann, bean, bean fhionn, bean fhionn: ton cnis geal, fionn, ton cnis geal
👱🏼‍♀	baineann, bean, bean fhionn, bean fhionn: ton cnis meánach-gheal, fionn, ton cnis meánach-gheal
👱🏽‍♀	baineann, bean, bean fhionn, bean fhionn: ton cnis meánach, fionn, ton cnis meánach
👱🏾‍♀	baineann, bean, bean fhionn, bean fhionn: ton cnis meánach-dhorcha, fionn, ton cnis meánach-dhorcha
👱🏿‍♀	baineann, bean, bean fhionn, bean fhionn: ton cnis dorcha, fionn, ton cnis dorcha
🤵🏻	culaith, culaith dhinnéir, fear, fear le culaith air, fear le culaith air: ton cnis geal, seaicéad, ton cnis geal
🤵🏼	culaith, culaith dhinnéir, fear, fear le culaith air, fear le culaith air: ton cnis meánach-gheal, seaicéad, ton cnis meánach-gheal
🤵🏽	culaith, culaith dhinnéir, fear, fear le culaith air, fear le culaith air: ton cnis meánach, seaicéad, ton cnis meánach
🤵🏾	culaith, culaith dhinnéir, fear, fear le culaith air, fear le culaith air: ton cnis meánach-dhorcha, seaicéad, ton cnis meánach-dhorcha
🤵🏿	culaith, culaith dhinnéir, fear, fear le culaith air, fear le culaith air: ton cnis dorcha, seaicéad, ton cnis dorcha
👰🏻	bainis, brídeach, brídeog le caille uirthi, brídeog le caille uirthi: ton cnis geal, caille, pósadh, ton cnis geal
👰🏼	bainis, brídeach, brídeog le caille uirthi, brídeog le caille uirthi: ton cnis meánach-gheal, caille, pósadh, ton cnis meánach-gheal
👰🏽	bainis, brídeach, brídeog le caille uirthi, brídeog le caille uirthi: ton cnis meánach, caille, pósadh, ton cnis meánach
👰🏾	bainis, brídeach, brídeog le caille uirthi, brídeog le caille uirthi: ton cnis meánach-dhorcha, caille, pósadh, ton cnis meánach-dhorcha
👰🏿	bainis, brídeach, brídeog le caille uirthi, brídeog le caille uirthi: ton cnis dorcha, caille, pósadh, ton cnis dorcha
🤰🏻	ag iompar linbh, bean, bean ag iompar clainne, bean ag iompar clainne: ton cnis geal, ton cnis geal
🤰🏼	ag iompar linbh, bean, bean ag iompar clainne, bean ag iompar clainne: ton cnis meánach-gheal, ton cnis meánach-gheal
🤰🏽	ag iompar linbh, bean, bean ag iompar clainne, bean ag iompar clainne: ton cnis meánach, ton cnis meánach
🤰🏾	ag iompar linbh, bean, bean ag iompar clainne, bean ag iompar clainne: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🤰🏿	ag iompar linbh, bean, bean ag iompar clainne, bean ag iompar clainne: ton cnis dorcha, ton cnis dorcha
🤱🏻	babaí, cothú cíche, cothú cíche: ton cnis geal, cíoch, ton cnis geal
🤱🏼	babaí, cothú cíche, cothú cíche: ton cnis meánach-gheal, cíoch, ton cnis meánach-gheal
🤱🏽	babaí, cothú cíche, cothú cíche: ton cnis meánach, cíoch, ton cnis meánach
🤱🏾	babaí, cothú cíche, cothú cíche: ton cnis meánach-dhorcha, cíoch, ton cnis meánach-dhorcha
🤱🏿	babaí, cothú cíche, cothú cíche: ton cnis dorcha, cíoch, ton cnis dorcha
👼🏻	aingeal, aingeal óg, aingeal óg: ton cnis geal, ton cnis geal
👼🏼	aingeal, aingeal óg, aingeal óg: ton cnis meánach-gheal, ton cnis meánach-gheal
👼🏽	aingeal, aingeal óg, aingeal óg: ton cnis meánach, ton cnis meánach
👼🏾	aingeal, aingeal óg, aingeal óg: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👼🏿	aingeal, aingeal óg, aingeal óg: ton cnis dorcha, ton cnis dorcha
🎅🏻	Daidí na Nollag, Daidí na Nollag: ton cnis geal, Nollaig, Saintí, San Nioclás, Santa, ceiliúradh, ton cnis geal
🎅🏼	Daidí na Nollag, Daidí na Nollag: ton cnis meánach-gheal, Nollaig, Saintí, San Nioclás, Santa, ceiliúradh, ton cnis meánach-gheal
🎅🏽	Daidí na Nollag, Daidí na Nollag: ton cnis meánach, Nollaig, Saintí, San Nioclás, Santa, ceiliúradh, ton cnis meánach
🎅🏾	Daidí na Nollag, Daidí na Nollag: ton cnis meánach-dhorcha, Nollaig, Saintí, San Nioclás, Santa, ceiliúradh, ton cnis meánach-dhorcha
🎅🏿	Daidí na Nollag, Daidí na Nollag: ton cnis dorcha, Nollaig, Saintí, San Nioclás, Santa, ceiliúradh, ton cnis dorcha
