🦵🏻	karnacja jasna, kopniak, kończyna, noga, noga: karnacja jasna
🧙🏿	czarnoksiężnik, czarodziej, czarownica, karnacja ciemna, mag, mag: karnacja ciemna, wiedźma
🧙🏻‍♀	czarownica, karnacja jasna, kobieta mag, kobieta mag: karnacja jasna, wiedźma
🧙🏼‍♀	czarownica, karnacja średnio jasna, kobieta mag, kobieta mag: karnacja średnio jasna, wiedźma
🧙🏽‍♀	czarownica, karnacja średnia, kobieta mag, kobieta mag: karnacja średnia, wiedźma
🧙🏾‍♀	czarownica, karnacja średnio ciemna, kobieta mag, kobieta mag: karnacja średnio ciemna, wiedźma
🧙🏿‍♀	czarownica, karnacja ciemna, kobieta mag, kobieta mag: karnacja ciemna, wiedźma
🧙🏻‍♂	czarnoksiężnik, czarodziej, karnacja jasna, mężczyzna mag, mężczyzna mag: karnacja jasna
🧙🏼‍♂	czarnoksiężnik, czarodziej, karnacja średnio jasna, mężczyzna mag, mężczyzna mag: karnacja średnio jasna
🧙🏽‍♂	czarnoksiężnik, czarodziej, karnacja średnia, mężczyzna mag, mężczyzna mag: karnacja średnia
🧙🏾‍♂	czarnoksiężnik, czarodziej, karnacja średnio ciemna, mężczyzna mag, mężczyzna mag: karnacja średnio ciemna
🧙🏿‍♂	czarnoksiężnik, czarodziej, karnacja ciemna, mężczyzna mag, mężczyzna mag: karnacja ciemna
🧚🏻	Oberon, Puck, Tytania, karnacja jasna, wróżka, wróżka: karnacja jasna
🧚🏼	Oberon, Puck, Tytania, karnacja średnio jasna, wróżka, wróżka: karnacja średnio jasna
🧚🏽	Oberon, Puck, Tytania, karnacja średnia, wróżka, wróżka: karnacja średnia
🧚🏾	Oberon, Puck, Tytania, karnacja średnio ciemna, wróżka, wróżka: karnacja średnio ciemna
🧚🏿	Oberon, Puck, Tytania, karnacja ciemna, wróżka, wróżka: karnacja ciemna
🧚🏻‍♀	Tytania, karnacja jasna, kobieta wróżka, kobieta wróżka: karnacja jasna
🧚🏼‍♀	Tytania, karnacja średnio jasna, kobieta wróżka, kobieta wróżka: karnacja średnio jasna
🧚🏽‍♀	Tytania, karnacja średnia, kobieta wróżka, kobieta wróżka: karnacja średnia
🧚🏾‍♀	Tytania, karnacja średnio ciemna, kobieta wróżka, kobieta wróżka: karnacja średnio ciemna
🧚🏿‍♀	Tytania, karnacja ciemna, kobieta wróżka, kobieta wróżka: karnacja ciemna
🧚🏻‍♂	Oberon, Puck, karnacja jasna, mężczyzna wróżka, mężczyzna wróżka: karnacja jasna
🧚🏼‍♂	Oberon, Puck, karnacja średnio jasna, mężczyzna wróżka, mężczyzna wróżka: karnacja średnio jasna
🧚🏽‍♂	Oberon, Puck, karnacja średnia, mężczyzna wróżka, mężczyzna wróżka: karnacja średnia
🧚🏾‍♂	Oberon, Puck, karnacja średnio ciemna, mężczyzna wróżka, mężczyzna wróżka: karnacja średnio ciemna
🧚🏿‍♂	Oberon, Puck, karnacja ciemna, mężczyzna wróżka, mężczyzna wróżka: karnacja ciemna
🧛🏻	Drakula, karnacja jasna, nieumarli, wampir, wampir: karnacja jasna
🧛🏼	Drakula, karnacja średnio jasna, nieumarli, wampir, wampir: karnacja średnio jasna
🧛🏽	Drakula, karnacja średnia, nieumarli, wampir, wampir: karnacja średnia
🧛🏾	Drakula, karnacja średnio ciemna, nieumarli, wampir, wampir: karnacja średnio ciemna
🧛🏿	Drakula, karnacja ciemna, nieumarli, wampir, wampir: karnacja ciemna
🧛🏻‍♀	karnacja jasna, kobieta wampir, kobieta wampir: karnacja jasna, nieumarli
🧛🏼‍♀	karnacja średnio jasna, kobieta wampir, kobieta wampir: karnacja średnio jasna, nieumarli
🧛🏽‍♀	karnacja średnia, kobieta wampir, kobieta wampir: karnacja średnia, nieumarli
🧛🏾‍♀	karnacja średnio ciemna, kobieta wampir, kobieta wampir: karnacja średnio ciemna, nieumarli
🧛🏿‍♀	karnacja ciemna, kobieta wampir, kobieta wampir: karnacja ciemna, nieumarli
🧛🏻‍♂	Drakula, karnacja jasna, mężczyzna wampir, mężczyzna wampir: karnacja jasna, nieumarły
🧛🏼‍♂	Drakula, karnacja średnio jasna, mężczyzna wampir, mężczyzna wampir: karnacja średnio jasna, nieumarły
🧛🏽‍♂	Drakula, karnacja średnia, mężczyzna wampir, mężczyzna wampir: karnacja średnia, nieumarły
🧛🏾‍♂	Drakula, karnacja średnio ciemna, mężczyzna wampir, mężczyzna wampir: karnacja średnio ciemna, nieumarły
🧛🏿‍♂	Drakula, karnacja ciemna, mężczyzna wampir, mężczyzna wampir: karnacja ciemna, nieumarły
🧜🏻	karnacja jasna, syrena, syrena: karnacja jasna
🧜🏼	karnacja średnio jasna, syrena, syrena: karnacja średnio jasna
🧜🏽	karnacja średnia, syrena, syrena: karnacja średnia
🧜🏾	karnacja średnio ciemna, syrena, syrena: karnacja średnio ciemna
🧜🏿	karnacja ciemna, syrena, syrena: karnacja ciemna
🧜🏻‍♀	karnacja jasna, kobieta syrena, kobieta syrena: karnacja jasna, syrena
🧜🏼‍♀	karnacja średnio jasna, kobieta syrena, kobieta syrena: karnacja średnio jasna, syrena
🧜🏽‍♀	karnacja średnia, kobieta syrena, kobieta syrena: karnacja średnia, syrena
🧜🏾‍♀	karnacja średnio ciemna, kobieta syrena, kobieta syrena: karnacja średnio ciemna, syrena
🧜🏿‍♀	karnacja ciemna, kobieta syrena, kobieta syrena: karnacja ciemna, syrena
🧜🏻‍♂	Tryton, karnacja jasna, mężczyzna syrena, mężczyzna syrena: karnacja jasna
🧜🏼‍♂	Tryton, karnacja średnio jasna, mężczyzna syrena, mężczyzna syrena: karnacja średnio jasna
🧜🏽‍♂	Tryton, karnacja średnia, mężczyzna syrena, mężczyzna syrena: karnacja średnia
🧜🏾‍♂	Tryton, karnacja średnio ciemna, mężczyzna syrena, mężczyzna syrena: karnacja średnio ciemna
🧜🏿‍♂	Tryton, karnacja ciemna, mężczyzna syrena, mężczyzna syrena: karnacja ciemna
🧝🏻	elf, elf: karnacja jasna, karnacja jasna, magiczny
🧝🏼	elf, elf: karnacja średnio jasna, karnacja średnio jasna, magiczny
🧝🏽	elf, elf: karnacja średnia, karnacja średnia, magiczny
🧝🏾	elf, elf: karnacja średnio ciemna, karnacja średnio ciemna, magiczny
🧝🏿	elf, elf: karnacja ciemna, karnacja ciemna, magiczny
🧝🏻‍♀	karnacja jasna, kobieta elf, kobieta elf: karnacja jasna, magiczny
🧝🏼‍♀	karnacja średnio jasna, kobieta elf, kobieta elf: karnacja średnio jasna, magiczny
🧝🏽‍♀	karnacja średnia, kobieta elf, kobieta elf: karnacja średnia, magiczny
🧝🏾‍♀	karnacja średnio ciemna, kobieta elf, kobieta elf: karnacja średnio ciemna, magiczny
🧝🏿‍♀	karnacja ciemna, kobieta elf, kobieta elf: karnacja ciemna, magiczny
🧝🏻‍♂	karnacja jasna, magiczny, mężczyzna elf, mężczyzna elf: karnacja jasna
🧝🏼‍♂	karnacja średnio jasna, magiczny, mężczyzna elf, mężczyzna elf: karnacja średnio jasna
🧝🏽‍♂	karnacja średnia, magiczny, mężczyzna elf, mężczyzna elf: karnacja średnia
🧝🏾‍♂	karnacja średnio ciemna, magiczny, mężczyzna elf, mężczyzna elf: karnacja średnio ciemna
🧝🏿‍♂	karnacja ciemna, magiczny, mężczyzna elf, mężczyzna elf: karnacja ciemna
🙍🏻	karnacja jasna, smutek na twarzy, smutny, zachmurzona osoba, zachmurzona osoba: karnacja jasna
🙍🏼	karnacja średnio jasna, smutek na twarzy, smutny, zachmurzona osoba, zachmurzona osoba: karnacja średnio jasna
🙍🏽	karnacja średnia, smutek na twarzy, smutny, zachmurzona osoba, zachmurzona osoba: karnacja średnia
🙍🏾	karnacja średnio ciemna, smutek na twarzy, smutny, zachmurzona osoba, zachmurzona osoba: karnacja średnio ciemna
🙍🏿	karnacja ciemna, smutek na twarzy, smutny, zachmurzona osoba, zachmurzona osoba: karnacja ciemna
🙍🏻‍♂	karnacja jasna, mężczyzna, zachmurzony mężczyzna, zachmurzony mężczyzna: karnacja jasna, zmarszczone brwi
🙍🏼‍♂	karnacja średnio jasna, mężczyzna, zachmurzony mężczyzna, zachmurzony mężczyzna: karnacja średnio jasna, zmarszczone brwi
🙍🏽‍♂	karnacja średnia, mężczyzna, zachmurzony mężczyzna, zachmurzony mężczyzna: karnacja średnia, zmarszczone brwi
🙍🏾‍♂	karnacja średnio ciemna, mężczyzna, zachmurzony mężczyzna, zachmurzony mężczyzna: karnacja średnio ciemna, zmarszczone brwi
🙍🏿‍♂	karnacja ciemna, mężczyzna, zachmurzony mężczyzna, zachmurzony mężczyzna: karnacja ciemna, zmarszczone brwi
🙍🏻‍♀	karnacja jasna, kobieta, zachmurzona kobieta, zachmurzona kobieta: karnacja jasna, zmarszczone brwi
🙍🏼‍♀	karnacja średnio jasna, kobieta, zachmurzona kobieta, zachmurzona kobieta: karnacja średnio jasna, zmarszczone brwi
🙍🏽‍♀	karnacja średnia, kobieta, zachmurzona kobieta, zachmurzona kobieta: karnacja średnia, zmarszczone brwi
🙍🏾‍♀	karnacja średnio ciemna, kobieta, zachmurzona kobieta, zachmurzona kobieta: karnacja średnio ciemna, zmarszczone brwi
🙍🏿‍♀	karnacja ciemna, kobieta, zachmurzona kobieta, zachmurzona kobieta: karnacja ciemna, zmarszczone brwi
🙎🏻	buźka, kapryśna, karnacja jasna, mina, nadąsana osoba, nadąsana osoba: karnacja jasna, niezadowolona
🙎🏼	buźka, kapryśna, karnacja średnio jasna, mina, nadąsana osoba, nadąsana osoba: karnacja średnio jasna, niezadowolona
🙎🏽	buźka, kapryśna, karnacja średnia, mina, nadąsana osoba, nadąsana osoba: karnacja średnia, niezadowolona
🙎🏾	buźka, kapryśna, karnacja średnio ciemna, mina, nadąsana osoba, nadąsana osoba: karnacja średnio ciemna, niezadowolona
🙎🏿	buźka, kapryśna, karnacja ciemna, mina, nadąsana osoba, nadąsana osoba: karnacja ciemna, niezadowolona
🙎🏻‍♂	karnacja jasna, mężczyzna, nadąsany, nadąsany mężczyzna: karnacja jasna, niezadowolony
🙎🏼‍♂	karnacja średnio jasna, mężczyzna, nadąsany, nadąsany mężczyzna: karnacja średnio jasna, niezadowolony
🙎🏽‍♂	karnacja średnia, mężczyzna, nadąsany, nadąsany mężczyzna: karnacja średnia, niezadowolony
🙎🏾‍♂	karnacja średnio ciemna, mężczyzna, nadąsany, nadąsany mężczyzna: karnacja średnio ciemna, niezadowolony
🙎🏿‍♂	karnacja ciemna, mężczyzna, nadąsany, nadąsany mężczyzna: karnacja ciemna, niezadowolony
🙎🏻‍♀	karnacja jasna, kobieta, nadąsana, nadąsana kobieta: karnacja jasna, niezadowolona
🙎🏼‍♀	karnacja średnio jasna, kobieta, nadąsana, nadąsana kobieta: karnacja średnio jasna, niezadowolona
🙎🏽‍♀	karnacja średnia, kobieta, nadąsana, nadąsana kobieta: karnacja średnia, niezadowolona
🙎🏾‍♀	karnacja średnio ciemna, kobieta, nadąsana, nadąsana kobieta: karnacja średnio ciemna, niezadowolona
🙎🏿‍♀	karnacja ciemna, kobieta, nadąsana, nadąsana kobieta: karnacja ciemna, niezadowolona
🙅🏻	karnacja jasna, nie wolno, osoba pokazująca gest NIE, osoba pokazująca gest NIE: karnacja jasna, zakaz
🙅🏼	karnacja średnio jasna, nie wolno, osoba pokazująca gest NIE, osoba pokazująca gest NIE: karnacja średnio jasna, zakaz
🙅🏽	karnacja średnia, nie wolno, osoba pokazująca gest NIE, osoba pokazująca gest NIE: karnacja średnia, zakaz
🙅🏾	karnacja średnio ciemna, nie wolno, osoba pokazująca gest NIE, osoba pokazująca gest NIE: karnacja średnio ciemna, zakaz
🙅🏿	karnacja ciemna, nie wolno, osoba pokazująca gest NIE, osoba pokazująca gest NIE: karnacja ciemna, zakaz
🙅🏻‍♂	karnacja jasna, mężczyzna, mężczyzna pokazujący gest NIE, mężczyzna pokazujący gest NIE: karnacja jasna, nie, ręce, zakaz
🙅🏼‍♂	karnacja średnio jasna, mężczyzna, mężczyzna pokazujący gest NIE, mężczyzna pokazujący gest NIE: karnacja średnio jasna, nie, ręce, zakaz
🙅🏽‍♂	karnacja średnia, mężczyzna, mężczyzna pokazujący gest NIE, mężczyzna pokazujący gest NIE: karnacja średnia, nie, ręce, zakaz
🙅🏾‍♂	karnacja średnio ciemna, mężczyzna, mężczyzna pokazujący gest NIE, mężczyzna pokazujący gest NIE: karnacja średnio ciemna, nie, ręce, zakaz
🙅🏿‍♂	karnacja ciemna, mężczyzna, mężczyzna pokazujący gest NIE, mężczyzna pokazujący gest NIE: karnacja ciemna, nie, ręce, zakaz
🙅🏻‍♀	karnacja jasna, kobieta, kobieta pokazująca gest NIE, kobieta pokazująca gest NIE: karnacja jasna, nie, ręce, zakaz
🙅🏼‍♀	karnacja średnio jasna, kobieta, kobieta pokazująca gest NIE, kobieta pokazująca gest NIE: karnacja średnio jasna, nie, ręce, zakaz
🙅🏽‍♀	karnacja średnia, kobieta, kobieta pokazująca gest NIE, kobieta pokazująca gest NIE: karnacja średnia, nie, ręce, zakaz
🙅🏾‍♀	karnacja średnio ciemna, kobieta, kobieta pokazująca gest NIE, kobieta pokazująca gest NIE: karnacja średnio ciemna, nie, ręce, zakaz
🙅🏿‍♀	karnacja ciemna, kobieta, kobieta pokazująca gest NIE, kobieta pokazująca gest NIE: karnacja ciemna, nie, ręce, zakaz
🙆🏻	karnacja jasna, ojej, osoba pokazująca gest OK, osoba pokazująca gest OK: karnacja jasna, zachwyt, zaskoczenie
🙆🏼	karnacja średnio jasna, ojej, osoba pokazująca gest OK, osoba pokazująca gest OK: karnacja średnio jasna, zachwyt, zaskoczenie
🙆🏽	karnacja średnia, ojej, osoba pokazująca gest OK, osoba pokazująca gest OK: karnacja średnia, zachwyt, zaskoczenie
🙆🏾	karnacja średnio ciemna, ojej, osoba pokazująca gest OK, osoba pokazująca gest OK: karnacja średnio ciemna, zachwyt, zaskoczenie
🙆🏿	karnacja ciemna, ojej, osoba pokazująca gest OK, osoba pokazująca gest OK: karnacja ciemna, zachwyt, zaskoczenie
🙆🏻‍♂	karnacja jasna, mężczyzna, mężczyzna pokazujący „ojej!”, mężczyzna pokazujący „ojej!”: karnacja jasna, ojej, ręce, zachwyt
🙆🏼‍♂	karnacja średnio jasna, mężczyzna, mężczyzna pokazujący „ojej!”, mężczyzna pokazujący „ojej!”: karnacja średnio jasna, ojej, ręce, zachwyt
🙆🏽‍♂	karnacja średnia, mężczyzna, mężczyzna pokazujący „ojej!”, mężczyzna pokazujący „ojej!”: karnacja średnia, ojej, ręce, zachwyt
🙆🏾‍♂	karnacja średnio ciemna, mężczyzna, mężczyzna pokazujący „ojej!”, mężczyzna pokazujący „ojej!”: karnacja średnio ciemna, ojej, ręce, zachwyt
🙆🏿‍♂	karnacja ciemna, mężczyzna, mężczyzna pokazujący „ojej!”, mężczyzna pokazujący „ojej!”: karnacja ciemna, ojej, ręce, zachwyt
🙆🏻‍♀	karnacja jasna, kobieta, kobieta pokazująca gest OK, kobieta pokazująca gest OK: karnacja jasna, ojej, ręce, zachwyt
🙆🏼‍♀	karnacja średnio jasna, kobieta, kobieta pokazująca gest OK, kobieta pokazująca gest OK: karnacja średnio jasna, ojej, ręce, zachwyt
🙆🏽‍♀	karnacja średnia, kobieta, kobieta pokazująca gest OK, kobieta pokazująca gest OK: karnacja średnia, ojej, ręce, zachwyt
🙆🏾‍♀	karnacja średnio ciemna, kobieta, kobieta pokazująca gest OK, kobieta pokazująca gest OK: karnacja średnio ciemna, ojej, ręce, zachwyt
🙆🏿‍♀	karnacja ciemna, kobieta, kobieta pokazująca gest OK, kobieta pokazująca gest OK: karnacja ciemna, ojej, ręce, zachwyt
💁🏻	karnacja jasna, osoba z wystawioną dłonią, osoba z wystawioną dłonią: karnacja jasna, pomoc, pomocna dłoń, pomogę, życzliwy
💁🏼	karnacja średnio jasna, osoba z wystawioną dłonią, osoba z wystawioną dłonią: karnacja średnio jasna, pomoc, pomocna dłoń, pomogę, życzliwy
💁🏽	karnacja średnia, osoba z wystawioną dłonią, osoba z wystawioną dłonią: karnacja średnia, pomoc, pomocna dłoń, pomogę, życzliwy
💁🏾	karnacja średnio ciemna, osoba z wystawioną dłonią, osoba z wystawioną dłonią: karnacja średnio ciemna, pomoc, pomocna dłoń, pomogę, życzliwy
💁🏿	karnacja ciemna, osoba z wystawioną dłonią, osoba z wystawioną dłonią: karnacja ciemna, pomoc, pomocna dłoń, pomogę, życzliwy
💁🏻‍♂	karnacja jasna, mężczyzna, mężczyzna z wystawioną dłonią, mężczyzna z wystawioną dłonią: karnacja jasna, otwarta dłoń
💁🏼‍♂	karnacja średnio jasna, mężczyzna, mężczyzna z wystawioną dłonią, mężczyzna z wystawioną dłonią: karnacja średnio jasna, otwarta dłoń
💁🏽‍♂	karnacja średnia, mężczyzna, mężczyzna z wystawioną dłonią, mężczyzna z wystawioną dłonią: karnacja średnia, otwarta dłoń
💁🏾‍♂	karnacja średnio ciemna, mężczyzna, mężczyzna z wystawioną dłonią, mężczyzna z wystawioną dłonią: karnacja średnio ciemna, otwarta dłoń
💁🏿‍♂	karnacja ciemna, mężczyzna, mężczyzna z wystawioną dłonią, mężczyzna z wystawioną dłonią: karnacja ciemna, otwarta dłoń
💁🏻‍♀	karnacja jasna, kobieta, kobieta z wystawioną dłonią, kobieta z wystawioną dłonią: karnacja jasna, otwarta dłoń
💁🏼‍♀	karnacja średnio jasna, kobieta, kobieta z wystawioną dłonią, kobieta z wystawioną dłonią: karnacja średnio jasna, otwarta dłoń
💁🏽‍♀	karnacja średnia, kobieta, kobieta z wystawioną dłonią, kobieta z wystawioną dłonią: karnacja średnia, otwarta dłoń
💁🏾‍♀	karnacja średnio ciemna, kobieta, kobieta z wystawioną dłonią, kobieta z wystawioną dłonią: karnacja średnio ciemna, otwarta dłoń
💁🏿‍♀	karnacja ciemna, kobieta, kobieta z wystawioną dłonią, kobieta z wystawioną dłonią: karnacja ciemna, otwarta dłoń
🙋🏻	karnacja jasna, osoba podnosząca rękę, osoba podnosząca rękę: karnacja jasna, ręka do góry, witaj!
🙋🏼	karnacja średnio jasna, osoba podnosząca rękę, osoba podnosząca rękę: karnacja średnio jasna, ręka do góry, witaj!
🙋🏽	karnacja średnia, osoba podnosząca rękę, osoba podnosząca rękę: karnacja średnia, ręka do góry, witaj!
🙋🏾	karnacja średnio ciemna, osoba podnosząca rękę, osoba podnosząca rękę: karnacja średnio ciemna, ręka do góry, witaj!
🙋🏿	karnacja ciemna, osoba podnosząca rękę, osoba podnosząca rękę: karnacja ciemna, ręka do góry, witaj!
🙋🏻‍♂	gest, hej, karnacja jasna, mężczyzna, mężczyzna podnoszący rękę, mężczyzna podnoszący rękę: karnacja jasna, powitanie
🙋🏼‍♂	gest, hej, karnacja średnio jasna, mężczyzna, mężczyzna podnoszący rękę, mężczyzna podnoszący rękę: karnacja średnio jasna, powitanie
🙋🏽‍♂	gest, hej, karnacja średnia, mężczyzna, mężczyzna podnoszący rękę, mężczyzna podnoszący rękę: karnacja średnia, powitanie
🙋🏾‍♂	gest, hej, karnacja średnio ciemna, mężczyzna, mężczyzna podnoszący rękę, mężczyzna podnoszący rękę: karnacja średnio ciemna, powitanie
🙋🏿‍♂	gest, hej, karnacja ciemna, mężczyzna, mężczyzna podnoszący rękę, mężczyzna podnoszący rękę: karnacja ciemna, powitanie
🙋🏻‍♀	gest, hej, karnacja jasna, kobieta, kobieta podnosząca rękę, kobieta podnosząca rękę: karnacja jasna, powitanie
🙋🏼‍♀	gest, hej, karnacja średnio jasna, kobieta, kobieta podnosząca rękę, kobieta podnosząca rękę: karnacja średnio jasna, powitanie
🙋🏽‍♀	gest, hej, karnacja średnia, kobieta, kobieta podnosząca rękę, kobieta podnosząca rękę: karnacja średnia, powitanie
🙋🏾‍♀	gest, hej, karnacja średnio ciemna, kobieta, kobieta podnosząca rękę, kobieta podnosząca rękę: karnacja średnio ciemna, powitanie
🙋🏿‍♀	gest, hej, karnacja ciemna, kobieta, kobieta podnosząca rękę, kobieta podnosząca rękę: karnacja ciemna, powitanie
🙇🏻	karnacja jasna, opuszczona głowa, osoba w ukłonie, osoba w ukłonie: karnacja jasna, przepraszam, przykro mi
🙇🏼	karnacja średnio jasna, opuszczona głowa, osoba w ukłonie, osoba w ukłonie: karnacja średnio jasna, przepraszam, przykro mi
🙇🏽	karnacja średnia, opuszczona głowa, osoba w ukłonie, osoba w ukłonie: karnacja średnia, przepraszam, przykro mi
🙇🏾	karnacja średnio ciemna, opuszczona głowa, osoba w ukłonie, osoba w ukłonie: karnacja średnio ciemna, przepraszam, przykro mi
🙇🏿	karnacja ciemna, opuszczona głowa, osoba w ukłonie, osoba w ukłonie: karnacja ciemna, przepraszam, przykro mi
🙇🏻‍♂	gest, karnacja jasna, mężczyzna, mężczyzna w ukłonie, mężczyzna w ukłonie: karnacja jasna, przepraszam, ukłon
🙇🏼‍♂	gest, karnacja średnio jasna, mężczyzna, mężczyzna w ukłonie, mężczyzna w ukłonie: karnacja średnio jasna, przepraszam, ukłon
🙇🏽‍♂	gest, karnacja średnia, mężczyzna, mężczyzna w ukłonie, mężczyzna w ukłonie: karnacja średnia, przepraszam, ukłon
🙇🏾‍♂	gest, karnacja średnio ciemna, mężczyzna, mężczyzna w ukłonie, mężczyzna w ukłonie: karnacja średnio ciemna, przepraszam, ukłon
🙇🏿‍♂	gest, karnacja ciemna, mężczyzna, mężczyzna w ukłonie, mężczyzna w ukłonie: karnacja ciemna, przepraszam, ukłon
🙇🏻‍♀	gest, karnacja jasna, kobieta, kobieta w ukłonie, kobieta w ukłonie: karnacja jasna, przepraszam, ukłon
🙇🏼‍♀	gest, karnacja średnio jasna, kobieta, kobieta w ukłonie, kobieta w ukłonie: karnacja średnio jasna, przepraszam, ukłon
🙇🏽‍♀	gest, karnacja średnia, kobieta, kobieta w ukłonie, kobieta w ukłonie: karnacja średnia, przepraszam, ukłon
🙇🏾‍♀	gest, karnacja średnio ciemna, kobieta, kobieta w ukłonie, kobieta w ukłonie: karnacja średnio ciemna, przepraszam, ukłon
🙇🏿‍♀	gest, karnacja ciemna, kobieta, kobieta w ukłonie, kobieta w ukłonie: karnacja ciemna, przepraszam, ukłon
🤦🏻	fejspalm, karnacja jasna, niedowierzanie, osoba trzymająca się za czoło, osoba trzymająca się za czoło: karnacja jasna, załamanie
🤦🏼	fejspalm, karnacja średnio jasna, niedowierzanie, osoba trzymająca się za czoło, osoba trzymająca się za czoło: karnacja średnio jasna, załamanie
🤦🏽	fejspalm, karnacja średnia, niedowierzanie, osoba trzymająca się za czoło, osoba trzymająca się za czoło: karnacja średnia, załamanie
🤦🏾	fejspalm, karnacja średnio ciemna, niedowierzanie, osoba trzymająca się za czoło, osoba trzymająca się za czoło: karnacja średnio ciemna, załamanie
🤦🏿	fejspalm, karnacja ciemna, niedowierzanie, osoba trzymająca się za czoło, osoba trzymająca się za czoło: karnacja ciemna, załamanie
🤦🏻‍♂	brak słów, facepalm, karnacja jasna, mężczyzna, mężczyzna trzymający się za czoło, mężczyzna trzymający się za czoło: karnacja jasna, niedowierzanie, załamka
🤦🏼‍♂	brak słów, facepalm, karnacja średnio jasna, mężczyzna, mężczyzna trzymający się za czoło, mężczyzna trzymający się za czoło: karnacja średnio jasna, niedowierzanie, załamka
🤦🏽‍♂	brak słów, facepalm, karnacja średnia, mężczyzna, mężczyzna trzymający się za czoło, mężczyzna trzymający się za czoło: karnacja średnia, niedowierzanie, załamka
🤦🏾‍♂	brak słów, facepalm, karnacja średnio ciemna, mężczyzna, mężczyzna trzymający się za czoło, mężczyzna trzymający się za czoło: karnacja średnio ciemna, niedowierzanie, załamka
🤦🏿‍♂	brak słów, facepalm, karnacja ciemna, mężczyzna, mężczyzna trzymający się za czoło, mężczyzna trzymający się za czoło: karnacja ciemna, niedowierzanie, załamka
🤦🏻‍♀	brak słów, fejspalm, karnacja jasna, kobieta, kobieta trzymająca się za czoło, kobieta trzymająca się za czoło: karnacja jasna, niedowierzanie, załamka
🤦🏼‍♀	brak słów, fejspalm, karnacja średnio jasna, kobieta, kobieta trzymająca się za czoło, kobieta trzymająca się za czoło: karnacja średnio jasna, niedowierzanie, załamka
🤦🏽‍♀	brak słów, fejspalm, karnacja średnia, kobieta, kobieta trzymająca się za czoło, kobieta trzymająca się za czoło: karnacja średnia, niedowierzanie, załamka
🤦🏾‍♀	brak słów, fejspalm, karnacja średnio ciemna, kobieta, kobieta trzymająca się za czoło, kobieta trzymająca się za czoło: karnacja średnio ciemna, niedowierzanie, załamka
🤦🏿‍♀	brak słów, fejspalm, karnacja ciemna, kobieta, kobieta trzymająca się za czoło, kobieta trzymająca się za czoło: karnacja ciemna, niedowierzanie, załamka
🤷🏻	karnacja jasna, niewiedza, obojętność, osoba wzruszająca ramionami, osoba wzruszająca ramionami: karnacja jasna, wątpliwość
🤷🏼	karnacja średnio jasna, niewiedza, obojętność, osoba wzruszająca ramionami, osoba wzruszająca ramionami: karnacja średnio jasna, wątpliwość
🤷🏽	karnacja średnia, niewiedza, obojętność, osoba wzruszająca ramionami, osoba wzruszająca ramionami: karnacja średnia, wątpliwość
🤷🏾	karnacja średnio ciemna, niewiedza, obojętność, osoba wzruszająca ramionami, osoba wzruszająca ramionami: karnacja średnio ciemna, wątpliwość
🤷🏿	karnacja ciemna, niewiedza, obojętność, osoba wzruszająca ramionami, osoba wzruszająca ramionami: karnacja ciemna, wątpliwość
🤷🏻‍♂	karnacja jasna, mężczyzna, mężczyzna wzruszający ramionami, mężczyzna wzruszający ramionami: karnacja jasna, obojętność, wzruszenie ramion, wątpliwość
🤷🏼‍♂	karnacja średnio jasna, mężczyzna, mężczyzna wzruszający ramionami, mężczyzna wzruszający ramionami: karnacja średnio jasna, obojętność, wzruszenie ramion, wątpliwość
🤷🏽‍♂	karnacja średnia, mężczyzna, mężczyzna wzruszający ramionami, mężczyzna wzruszający ramionami: karnacja średnia, obojętność, wzruszenie ramion, wątpliwość
🤷🏾‍♂	karnacja średnio ciemna, mężczyzna, mężczyzna wzruszający ramionami, mężczyzna wzruszający ramionami: karnacja średnio ciemna, obojętność, wzruszenie ramion, wątpliwość
🤷🏿‍♂	karnacja ciemna, mężczyzna, mężczyzna wzruszający ramionami, mężczyzna wzruszający ramionami: karnacja ciemna, obojętność, wzruszenie ramion, wątpliwość
🤷🏻‍♀	karnacja jasna, kobieta, kobieta wzruszająca ramionami, kobieta wzruszająca ramionami: karnacja jasna, obojętność, wzruszenie ramion, wątpliwość
🤷🏼‍♀	karnacja średnio jasna, kobieta, kobieta wzruszająca ramionami, kobieta wzruszająca ramionami: karnacja średnio jasna, obojętność, wzruszenie ramion, wątpliwość
🤷🏽‍♀	karnacja średnia, kobieta, kobieta wzruszająca ramionami, kobieta wzruszająca ramionami: karnacja średnia, obojętność, wzruszenie ramion, wątpliwość
🤷🏾‍♀	karnacja średnio ciemna, kobieta, kobieta wzruszająca ramionami, kobieta wzruszająca ramionami: karnacja średnio ciemna, obojętność, wzruszenie ramion, wątpliwość
🤷🏿‍♀	karnacja ciemna, kobieta, kobieta wzruszająca ramionami, kobieta wzruszająca ramionami: karnacja ciemna, obojętność, wzruszenie ramion, wątpliwość
💆🏻	karnacja jasna, kosmetyczka, masaż, osoba podczas masażu, osoba podczas masażu: karnacja jasna, salon masażu
💆🏼	karnacja średnio jasna, kosmetyczka, masaż, osoba podczas masażu, osoba podczas masażu: karnacja średnio jasna, salon masażu
💆🏽	karnacja średnia, kosmetyczka, masaż, osoba podczas masażu, osoba podczas masażu: karnacja średnia, salon masażu
💆🏾	karnacja średnio ciemna, kosmetyczka, masaż, osoba podczas masażu, osoba podczas masażu: karnacja średnio ciemna, salon masażu
