🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
🤴🏿	جلد کی سیاہ رنگت, شہزادہ, شہزادہ: جلد کی سیاہ رنگت
👸🏻	افسانوی, جلد کی ہلکی رنگت, شہزادی, شہزادی: جلد کی ہلکی رنگت, کہانی
👸🏼	افسانوی, جلد کی درمیانی -ہلکی رنگت, شہزادی, شہزادی: جلد کی درمیانی -ہلکی رنگت, کہانی
👸🏽	افسانوی, جلد کی درمیانی رنگت, شہزادی, شہزادی: جلد کی درمیانی رنگت, کہانی
👸🏾	افسانوی, جلد کی درمیانی سیاہ رنگت, شہزادی, شہزادی: جلد کی درمیانی سیاہ رنگت, کہانی
👸🏿	افسانوی, جلد کی سیاہ رنگت, شہزادی, شہزادی: جلد کی سیاہ رنگت, کہانی
👳🏻	آدمی, جلد کی ہلکی رنگت, پگڑی, پگڑی والا شخص, پگڑی والا شخص: جلد کی ہلکی رنگت
👳🏼	آدمی, جلد کی درمیانی -ہلکی رنگت, پگڑی, پگڑی والا شخص, پگڑی والا شخص: جلد کی درمیانی -ہلکی رنگت
👳🏽	آدمی, جلد کی درمیانی رنگت, پگڑی, پگڑی والا شخص, پگڑی والا شخص: جلد کی درمیانی رنگت
👳🏾	آدمی, جلد کی درمیانی سیاہ رنگت, پگڑی, پگڑی والا شخص, پگڑی والا شخص: جلد کی درمیانی سیاہ رنگت
👳🏿	آدمی, جلد کی سیاہ رنگت, پگڑی, پگڑی والا شخص, پگڑی والا شخص: جلد کی سیاہ رنگت
👳🏻‍♂	جلد کی ہلکی رنگت, سردار, مرد, پگڑی, پگڑی والا مرد, پگڑی والا مرد: جلد کی ہلکی رنگت
👳🏼‍♂	جلد کی درمیانی -ہلکی رنگت, سردار, مرد, پگڑی, پگڑی والا مرد, پگڑی والا مرد: جلد کی درمیانی -ہلکی رنگت
👳🏽‍♂	جلد کی درمیانی رنگت, سردار, مرد, پگڑی, پگڑی والا مرد, پگڑی والا مرد: جلد کی درمیانی رنگت
👳🏾‍♂	جلد کی درمیانی سیاہ رنگت, سردار, مرد, پگڑی, پگڑی والا مرد, پگڑی والا مرد: جلد کی درمیانی سیاہ رنگت
👳🏿‍♂	جلد کی سیاہ رنگت, سردار, مرد, پگڑی, پگڑی والا مرد, پگڑی والا مرد: جلد کی سیاہ رنگت
👳🏻‍♀	جلد کی ہلکی رنگت, سردارنی, عورت, پگڑی, پگڑی والی عورت, پگڑی والی عورت: جلد کی ہلکی رنگت
👳🏼‍♀	جلد کی درمیانی -ہلکی رنگت, سردارنی, عورت, پگڑی, پگڑی والی عورت, پگڑی والی عورت: جلد کی درمیانی -ہلکی رنگت
👳🏽‍♀	جلد کی درمیانی رنگت, سردارنی, عورت, پگڑی, پگڑی والی عورت, پگڑی والی عورت: جلد کی درمیانی رنگت
👳🏾‍♀	جلد کی درمیانی سیاہ رنگت, سردارنی, عورت, پگڑی, پگڑی والی عورت, پگڑی والی عورت: جلد کی درمیانی سیاہ رنگت
👳🏿‍♀	جلد کی سیاہ رنگت, سردارنی, عورت, پگڑی, پگڑی والی عورت, پگڑی والی عورت: جلد کی سیاہ رنگت
👲🏻	آدمی, جلد کی ہلکی رنگت, ٹوپی, چینی ٹوپی والا شخص, چینی ٹوپی والا شخص: جلد کی ہلکی رنگت
👲🏼	آدمی, جلد کی درمیانی -ہلکی رنگت, ٹوپی, چینی ٹوپی والا شخص, چینی ٹوپی والا شخص: جلد کی درمیانی -ہلکی رنگت
👲🏽	آدمی, جلد کی درمیانی رنگت, ٹوپی, چینی ٹوپی والا شخص, چینی ٹوپی والا شخص: جلد کی درمیانی رنگت
👲🏾	آدمی, جلد کی درمیانی سیاہ رنگت, ٹوپی, چینی ٹوپی والا شخص, چینی ٹوپی والا شخص: جلد کی درمیانی سیاہ رنگت
👲🏿	آدمی, جلد کی سیاہ رنگت, ٹوپی, چینی ٹوپی والا شخص, چینی ٹوپی والا شخص: جلد کی سیاہ رنگت
🧕🏻	جلد کی ہلکی رنگت, حجاب, سر پر اسکارف پہنے عورت, سر پر اسکارف پہنے عورت: جلد کی ہلکی رنگت, سر کا اسکارف
🧕🏼	جلد کی درمیانی -ہلکی رنگت, حجاب, سر پر اسکارف پہنے عورت, سر پر اسکارف پہنے عورت: جلد کی درمیانی -ہلکی رنگت, سر کا اسکارف
🧕🏽	جلد کی درمیانی رنگت, حجاب, سر پر اسکارف پہنے عورت, سر پر اسکارف پہنے عورت: جلد کی درمیانی رنگت, سر کا اسکارف
🧕🏾	جلد کی درمیانی سیاہ رنگت, حجاب, سر پر اسکارف پہنے عورت, سر پر اسکارف پہنے عورت: جلد کی درمیانی سیاہ رنگت, سر کا اسکارف
🧕🏿	جلد کی سیاہ رنگت, حجاب, سر پر اسکارف پہنے عورت, سر پر اسکارف پہنے عورت: جلد کی سیاہ رنگت, سر کا اسکارف
🧔🏻	جلد کی ہلکی رنگت, داڑھی, داڑھی والا شخص, داڑھی والا شخص: جلد کی ہلکی رنگت
🧔🏼	جلد کی درمیانی -ہلکی رنگت, داڑھی, داڑھی والا شخص, داڑھی والا شخص: جلد کی درمیانی -ہلکی رنگت
🧔🏽	جلد کی درمیانی رنگت, داڑھی, داڑھی والا شخص, داڑھی والا شخص: جلد کی درمیانی رنگت
🧔🏾	جلد کی درمیانی سیاہ رنگت, داڑھی, داڑھی والا شخص, داڑھی والا شخص: جلد کی درمیانی سیاہ رنگت
🧔🏿	جلد کی سیاہ رنگت, داڑھی, داڑھی والا شخص, داڑھی والا شخص: جلد کی سیاہ رنگت
👱🏻	بال, بندہ, جلد کی ہلکی رنگت, سنہرے, سنہرے بالوں والا شخص, سنہرے بالوں والا شخص: جلد کی ہلکی رنگت
👱🏼	بال, بندہ, جلد کی درمیانی -ہلکی رنگت, سنہرے, سنہرے بالوں والا شخص, سنہرے بالوں والا شخص: جلد کی درمیانی -ہلکی رنگت
👱🏽	بال, بندہ, جلد کی درمیانی رنگت, سنہرے, سنہرے بالوں والا شخص, سنہرے بالوں والا شخص: جلد کی درمیانی رنگت
👱🏾	بال, بندہ, جلد کی درمیانی سیاہ رنگت, سنہرے, سنہرے بالوں والا شخص, سنہرے بالوں والا شخص: جلد کی درمیانی سیاہ رنگت
👱🏿	بال, بندہ, جلد کی سیاہ رنگت, سنہرے, سنہرے بالوں والا شخص, سنہرے بالوں والا شخص: جلد کی سیاہ رنگت
👱🏻‍♂	بھورے بال, جلد کی ہلکی رنگت, سنہرے بال, سنہرے بالوں والا مرد, سنہرے بالوں والا مرد: جلد کی ہلکی رنگت, مرد
👱🏼‍♂	بھورے بال, جلد کی درمیانی -ہلکی رنگت, سنہرے بال, سنہرے بالوں والا مرد, سنہرے بالوں والا مرد: جلد کی درمیانی -ہلکی رنگت, مرد
👱🏽‍♂	بھورے بال, جلد کی درمیانی رنگت, سنہرے بال, سنہرے بالوں والا مرد, سنہرے بالوں والا مرد: جلد کی درمیانی رنگت, مرد
👱🏾‍♂	بھورے بال, جلد کی درمیانی سیاہ رنگت, سنہرے بال, سنہرے بالوں والا مرد, سنہرے بالوں والا مرد: جلد کی درمیانی سیاہ رنگت, مرد
👱🏿‍♂	بھورے بال, جلد کی سیاہ رنگت, سنہرے بال, سنہرے بالوں والا مرد, سنہرے بالوں والا مرد: جلد کی سیاہ رنگت, مرد
👱🏻‍♀	بھورے بال, جلد کی ہلکی رنگت, سنہرے بال, سنہرے بالوں والی عورت, سنہرے بالوں والی عورت: جلد کی ہلکی رنگت, عورت
👱🏼‍♀	بھورے بال, جلد کی درمیانی -ہلکی رنگت, سنہرے بال, سنہرے بالوں والی عورت, سنہرے بالوں والی عورت: جلد کی درمیانی -ہلکی رنگت, عورت
👱🏽‍♀	بھورے بال, جلد کی درمیانی رنگت, سنہرے بال, سنہرے بالوں والی عورت, سنہرے بالوں والی عورت: جلد کی درمیانی رنگت, عورت
👱🏾‍♀	بھورے بال, جلد کی درمیانی سیاہ رنگت, سنہرے بال, سنہرے بالوں والی عورت, سنہرے بالوں والی عورت: جلد کی درمیانی سیاہ رنگت, عورت
👱🏿‍♀	بھورے بال, جلد کی سیاہ رنگت, سنہرے بال, سنہرے بالوں والی عورت, سنہرے بالوں والی عورت: جلد کی سیاہ رنگت, عورت
🤵🏻	تقریب, جلد کی ہلکی رنگت, دلہا, سوٹ, سوٹڈ بوٹڈ آدمی, سوٹڈ بوٹڈ آدمی: جلد کی ہلکی رنگت
🤵🏼	تقریب, جلد کی درمیانی -ہلکی رنگت, دلہا, سوٹ, سوٹڈ بوٹڈ آدمی, سوٹڈ بوٹڈ آدمی: جلد کی درمیانی -ہلکی رنگت
🤵🏽	تقریب, جلد کی درمیانی رنگت, دلہا, سوٹ, سوٹڈ بوٹڈ آدمی, سوٹڈ بوٹڈ آدمی: جلد کی درمیانی رنگت
🤵🏾	تقریب, جلد کی درمیانی سیاہ رنگت, دلہا, سوٹ, سوٹڈ بوٹڈ آدمی, سوٹڈ بوٹڈ آدمی: جلد کی درمیانی سیاہ رنگت
🤵🏿	تقریب, جلد کی سیاہ رنگت, دلہا, سوٹ, سوٹڈ بوٹڈ آدمی, سوٹڈ بوٹڈ آدمی: جلد کی سیاہ رنگت
👰🏻	جلد کی ہلکی رنگت, دلہن, روایتی سفید لباس میں دلہن, روایتی سفید لباس میں دلہن: جلد کی ہلکی رنگت, شادی
👰🏼	جلد کی درمیانی -ہلکی رنگت, دلہن, روایتی سفید لباس میں دلہن, روایتی سفید لباس میں دلہن: جلد کی درمیانی -ہلکی رنگت, شادی
👰🏽	جلد کی درمیانی رنگت, دلہن, روایتی سفید لباس میں دلہن, روایتی سفید لباس میں دلہن: جلد کی درمیانی رنگت, شادی
👰🏾	جلد کی درمیانی سیاہ رنگت, دلہن, روایتی سفید لباس میں دلہن, روایتی سفید لباس میں دلہن: جلد کی درمیانی سیاہ رنگت, شادی
👰🏿	جلد کی سیاہ رنگت, دلہن, روایتی سفید لباس میں دلہن, روایتی سفید لباس میں دلہن: جلد کی سیاہ رنگت, شادی
🤰🏻	جلد کی ہلکی رنگت, حاملہ, حاملہ عورت: جلد کی ہلکی رنگت, عورت
🤰🏼	جلد کی درمیانی -ہلکی رنگت, حاملہ, حاملہ عورت: جلد کی درمیانی -ہلکی رنگت, عورت
🤰🏽	جلد کی درمیانی رنگت, حاملہ, حاملہ عورت: جلد کی درمیانی رنگت, عورت
🤰🏾	جلد کی درمیانی سیاہ رنگت, حاملہ, حاملہ عورت: جلد کی درمیانی سیاہ رنگت, عورت
🤰🏿	جلد کی سیاہ رنگت, حاملہ, حاملہ عورت: جلد کی سیاہ رنگت, عورت
🤱🏻	بچہ, جلد کی ہلکی رنگت, دودھ پلانا, دودھ پلانا: جلد کی ہلکی رنگت, پرورش, پستان
🤱🏼	بچہ, جلد کی درمیانی -ہلکی رنگت, دودھ پلانا, دودھ پلانا: جلد کی درمیانی -ہلکی رنگت, پرورش, پستان
🤱🏽	بچہ, جلد کی درمیانی رنگت, دودھ پلانا, دودھ پلانا: جلد کی درمیانی رنگت, پرورش, پستان
🤱🏾	بچہ, جلد کی درمیانی سیاہ رنگت, دودھ پلانا, دودھ پلانا: جلد کی درمیانی سیاہ رنگت, پرورش, پستان
🤱🏿	بچہ, جلد کی سیاہ رنگت, دودھ پلانا, دودھ پلانا: جلد کی سیاہ رنگت, پرورش, پستان
👼🏻	افسانوی, بچہ, بے بی فرشتہ, بے بی فرشتہ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, فرشتہ, چہرہ
👼🏼	افسانوی, بچہ, بے بی فرشتہ, بے بی فرشتہ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, فرشتہ, چہرہ
👼🏽	افسانوی, بچہ, بے بی فرشتہ, بے بی فرشتہ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, فرشتہ, چہرہ
👼🏾	افسانوی, بچہ, بے بی فرشتہ, بے بی فرشتہ: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, فرشتہ, چہرہ
👼🏿	افسانوی, بچہ, بے بی فرشتہ, بے بی فرشتہ: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, فرشتہ, چہرہ
🎅🏻	باپ, جشن, جلد کی ہلکی رنگت, سانتا, سانتا کلاز, سانتا کلاز: جلد کی ہلکی رنگت, کرسمس
🎅🏼	باپ, جشن, جلد کی درمیانی -ہلکی رنگت, سانتا, سانتا کلاز, سانتا کلاز: جلد کی درمیانی -ہلکی رنگت, کرسمس
🎅🏽	باپ, جشن, جلد کی درمیانی رنگت, سانتا, سانتا کلاز, سانتا کلاز: جلد کی درمیانی رنگت, کرسمس
🎅🏾	باپ, جشن, جلد کی درمیانی سیاہ رنگت, سانتا, سانتا کلاز, سانتا کلاز: جلد کی درمیانی سیاہ رنگت, کرسمس
🎅🏿	باپ, جشن, جلد کی سیاہ رنگت, سانتا, سانتا کلاز, سانتا کلاز: جلد کی سیاہ رنگت, کرسمس
🤶🏻	جلد کی ہلکی رنگت, مدر, مدر کرسمس: جلد کی ہلکی رنگت, کرسمس
🤶🏼	جلد کی درمیانی -ہلکی رنگت, مدر, مدر کرسمس: جلد کی درمیانی -ہلکی رنگت, کرسمس
🤶🏽	جلد کی درمیانی رنگت, مدر, مدر کرسمس: جلد کی درمیانی رنگت, کرسمس
🤶🏾	جلد کی درمیانی سیاہ رنگت, مدر, مدر کرسمس: جلد کی درمیانی سیاہ رنگت, کرسمس
🤶🏿	جلد کی سیاہ رنگت, مدر, مدر کرسمس: جلد کی سیاہ رنگت, کرسمس
🧙🏻	جادوگر, جادوگر: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, چادوگرنی
🧙🏼	جادوگر, جادوگر: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, چادوگرنی
🧙🏽	جادوگر, جادوگر: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, چادوگرنی
🧙🏾	جادوگر, جادوگر: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, چادوگرنی
🧙🏿	جادوگر, جادوگر: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, چادوگرنی
🧙🏻‍♀	جادوگر عورت, جادوگر عورت: جلد کی ہلکی رنگت, جادوگرنی, جلد کی ہلکی رنگت, چڑیل
🧙🏼‍♀	جادوگر عورت, جادوگر عورت: جلد کی درمیانی -ہلکی رنگت, جادوگرنی, جلد کی درمیانی -ہلکی رنگت, چڑیل
🧙🏽‍♀	جادوگر عورت, جادوگر عورت: جلد کی درمیانی رنگت, جادوگرنی, جلد کی درمیانی رنگت, چڑیل
🧙🏾‍♀	جادوگر عورت, جادوگر عورت: جلد کی درمیانی سیاہ رنگت, جادوگرنی, جلد کی درمیانی سیاہ رنگت, چڑیل
🧙🏿‍♀	جادوگر عورت, جادوگر عورت: جلد کی سیاہ رنگت, جادوگرنی, جلد کی سیاہ رنگت, چڑیل
🧙🏻‍♂	جادوگر, جادوگر آدمی, جادوگر آدمی: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت
🧙🏼‍♂	جادوگر, جادوگر آدمی, جادوگر آدمی: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت
🧙🏽‍♂	جادوگر, جادوگر آدمی, جادوگر آدمی: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت
🧙🏾‍♂	جادوگر, جادوگر آدمی, جادوگر آدمی: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت
🧙🏿‍♂	جادوگر, جادوگر آدمی, جادوگر آدمی: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت
🧚🏻	اوبیران, جلد کی ہلکی رنگت, ٹائٹینیا, پری, پری: جلد کی ہلکی رنگت, پک
🧚🏼	اوبیران, جلد کی درمیانی -ہلکی رنگت, ٹائٹینیا, پری, پری: جلد کی درمیانی -ہلکی رنگت, پک
🧚🏽	اوبیران, جلد کی درمیانی رنگت, ٹائٹینیا, پری, پری: جلد کی درمیانی رنگت, پک
🧚🏾	اوبیران, جلد کی درمیانی سیاہ رنگت, ٹائٹینیا, پری, پری: جلد کی درمیانی سیاہ رنگت, پک
🧚🏿	اوبیران, جلد کی سیاہ رنگت, ٹائٹینیا, پری, پری: جلد کی سیاہ رنگت, پک
🧚🏻‍♀	جلد کی ہلکی رنگت, ٹائٹینیا, پری عورت, پری عورت: جلد کی ہلکی رنگت
🧚🏼‍♀	جلد کی درمیانی -ہلکی رنگت, ٹائٹینیا, پری عورت, پری عورت: جلد کی درمیانی -ہلکی رنگت
🧚🏽‍♀	جلد کی درمیانی رنگت, ٹائٹینیا, پری عورت, پری عورت: جلد کی درمیانی رنگت
🧚🏾‍♀	جلد کی درمیانی سیاہ رنگت, ٹائٹینیا, پری عورت, پری عورت: جلد کی درمیانی سیاہ رنگت
🧚🏿‍♀	جلد کی سیاہ رنگت, ٹائٹینیا, پری عورت, پری عورت: جلد کی سیاہ رنگت
🧚🏻‍♂	اوبیران, جلد کی ہلکی رنگت, مرد پری, مرد پری: جلد کی ہلکی رنگت, پک
🧚🏼‍♂	اوبیران, جلد کی درمیانی -ہلکی رنگت, مرد پری, مرد پری: جلد کی درمیانی -ہلکی رنگت, پک
🧚🏽‍♂	اوبیران, جلد کی درمیانی رنگت, مرد پری, مرد پری: جلد کی درمیانی رنگت, پک
🧚🏾‍♂	اوبیران, جلد کی درمیانی سیاہ رنگت, مرد پری, مرد پری: جلد کی درمیانی سیاہ رنگت, پک
🧚🏿‍♂	اوبیران, جلد کی سیاہ رنگت, مرد پری, مرد پری: جلد کی سیاہ رنگت, پک
🧛🏻	جلد کی ہلکی رنگت, خون خوار, خون خوار: جلد کی ہلکی رنگت, زندہ, ڈریکلا
🧛🏼	جلد کی درمیانی -ہلکی رنگت, خون خوار, خون خوار: جلد کی درمیانی -ہلکی رنگت, زندہ, ڈریکلا
🧛🏽	جلد کی درمیانی رنگت, خون خوار, خون خوار: جلد کی درمیانی رنگت, زندہ, ڈریکلا
🧛🏾	جلد کی درمیانی سیاہ رنگت, خون خوار, خون خوار: جلد کی درمیانی سیاہ رنگت, زندہ, ڈریکلا
🧛🏿	جلد کی سیاہ رنگت, خون خوار, خون خوار: جلد کی سیاہ رنگت, زندہ, ڈریکلا
🧛🏻‍♀	جلد کی ہلکی رنگت, خون خوار عورت, خون خوار عورت: جلد کی ہلکی رنگت, زندہ
🧛🏼‍♀	جلد کی درمیانی -ہلکی رنگت, خون خوار عورت, خون خوار عورت: جلد کی درمیانی -ہلکی رنگت, زندہ
🧛🏽‍♀	جلد کی درمیانی رنگت, خون خوار عورت, خون خوار عورت: جلد کی درمیانی رنگت, زندہ
🧛🏾‍♀	جلد کی درمیانی سیاہ رنگت, خون خوار عورت, خون خوار عورت: جلد کی درمیانی سیاہ رنگت, زندہ
🧛🏿‍♀	جلد کی سیاہ رنگت, خون خوار عورت, خون خوار عورت: جلد کی سیاہ رنگت, زندہ
🧛🏻‍♂	جلد کی ہلکی رنگت, خون خوار آدمی, خون خوار آدمی: جلد کی ہلکی رنگت, زندہ, ڈریکلا
🧛🏼‍♂	جلد کی درمیانی -ہلکی رنگت, خون خوار آدمی, خون خوار آدمی: جلد کی درمیانی -ہلکی رنگت, زندہ, ڈریکلا
🧛🏽‍♂	جلد کی درمیانی رنگت, خون خوار آدمی, خون خوار آدمی: جلد کی درمیانی رنگت, زندہ, ڈریکلا
🧛🏾‍♂	جلد کی درمیانی سیاہ رنگت, خون خوار آدمی, خون خوار آدمی: جلد کی درمیانی سیاہ رنگت, زندہ, ڈریکلا
🧛🏿‍♂	جلد کی سیاہ رنگت, خون خوار آدمی, خون خوار آدمی: جلد کی سیاہ رنگت, زندہ, ڈریکلا
🧜🏻	جل پری, جلد کی ہلکی رنگت, پانی کے جاندار, پانی کے جاندار: جلد کی ہلکی رنگت
🧜🏼	جل پری, جلد کی درمیانی -ہلکی رنگت, پانی کے جاندار, پانی کے جاندار: جلد کی درمیانی -ہلکی رنگت
🧜🏽	جل پری, جلد کی درمیانی رنگت, پانی کے جاندار, پانی کے جاندار: جلد کی درمیانی رنگت
🧜🏾	جل پری, جلد کی درمیانی سیاہ رنگت, پانی کے جاندار, پانی کے جاندار: جلد کی درمیانی سیاہ رنگت
🧜🏿	جل پری, جلد کی سیاہ رنگت, پانی کے جاندار, پانی کے جاندار: جلد کی سیاہ رنگت
🧜🏻‍♀	جل پری, جل پری: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, سمندری عورت
🧜🏼‍♀	جل پری, جل پری: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, سمندری عورت
🧜🏽‍♀	جل پری, جل پری: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, سمندری عورت
🧜🏾‍♀	جل پری, جل پری: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, سمندری عورت
🧜🏿‍♀	جل پری, جل پری: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, سمندری عورت
🧜🏻‍♂	جل مانس, جل مانس: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, سمندری دیوتا
🧜🏼‍♂	جل مانس, جل مانس: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, سمندری دیوتا
🧜🏽‍♂	جل مانس, جل مانس: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, سمندری دیوتا
🧜🏾‍♂	جل مانس, جل مانس: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, سمندری دیوتا
🧜🏿‍♂	جل مانس, جل مانس: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, سمندری دیوتا
🧝🏻	جادوئی, جلد کی ہلکی رنگت, پریت, پریت: جلد کی ہلکی رنگت
🧝🏼	جادوئی, جلد کی درمیانی -ہلکی رنگت, پریت, پریت: جلد کی درمیانی -ہلکی رنگت
🧝🏽	جادوئی, جلد کی درمیانی رنگت, پریت, پریت: جلد کی درمیانی رنگت
🧝🏾	جادوئی, جلد کی درمیانی سیاہ رنگت, پریت, پریت: جلد کی درمیانی سیاہ رنگت
🧝🏿	جادوئی, جلد کی سیاہ رنگت, پریت, پریت: جلد کی سیاہ رنگت
🧝🏻‍♀	جادوئی, جلد کی ہلکی رنگت, پریت عورت, پریت عورت: جلد کی ہلکی رنگت
🧝🏼‍♀	جادوئی, جلد کی درمیانی -ہلکی رنگت, پریت عورت, پریت عورت: جلد کی درمیانی -ہلکی رنگت
🧝🏽‍♀	جادوئی, جلد کی درمیانی رنگت, پریت عورت, پریت عورت: جلد کی درمیانی رنگت
🧝🏾‍♀	جادوئی, جلد کی درمیانی سیاہ رنگت, پریت عورت, پریت عورت: جلد کی درمیانی سیاہ رنگت
🧝🏿‍♀	جادوئی, جلد کی سیاہ رنگت, پریت عورت, پریت عورت: جلد کی سیاہ رنگت
🧝🏻‍♂	جادوئی, جلد کی ہلکی رنگت, پریت آدمی, پریت آدمی: جلد کی ہلکی رنگت
🧝🏼‍♂	جادوئی, جلد کی درمیانی -ہلکی رنگت, پریت آدمی, پریت آدمی: جلد کی درمیانی -ہلکی رنگت
🧝🏽‍♂	جادوئی, جلد کی درمیانی رنگت, پریت آدمی, پریت آدمی: جلد کی درمیانی رنگت
🧝🏾‍♂	جادوئی, جلد کی درمیانی سیاہ رنگت, پریت آدمی, پریت آدمی: جلد کی درمیانی سیاہ رنگت
🧝🏿‍♂	جادوئی, جلد کی سیاہ رنگت, پریت آدمی, پریت آدمی: جلد کی سیاہ رنگت
🙍🏻	اشارہ, تیوری, تیوری چڑھائے شخص, تیوری چڑھائے شخص: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت
🙍🏼	اشارہ, تیوری, تیوری چڑھائے شخص, تیوری چڑھائے شخص: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت
🙍🏽	اشارہ, تیوری, تیوری چڑھائے شخص, تیوری چڑھائے شخص: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت
🙍🏾	اشارہ, تیوری, تیوری چڑھائے شخص, تیوری چڑھائے شخص: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت
🙍🏿	اشارہ, تیوری, تیوری چڑھائے شخص, تیوری چڑھائے شخص: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت
🙍🏻‍♂	جلد کی ہلکی رنگت, مرد, ناراضگی ظاہر کرتا ہوا مرد, گھورتا ہوا مرد, گھورتا ہوا مرد: جلد کی ہلکی رنگت, گھورنا
🙍🏼‍♂	جلد کی درمیانی -ہلکی رنگت, مرد, ناراضگی ظاہر کرتا ہوا مرد, گھورتا ہوا مرد, گھورتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت, گھورنا
🙍🏽‍♂	جلد کی درمیانی رنگت, مرد, ناراضگی ظاہر کرتا ہوا مرد, گھورتا ہوا مرد, گھورتا ہوا مرد: جلد کی درمیانی رنگت, گھورنا
🙍🏾‍♂	جلد کی درمیانی سیاہ رنگت, مرد, ناراضگی ظاہر کرتا ہوا مرد, گھورتا ہوا مرد, گھورتا ہوا مرد: جلد کی درمیانی سیاہ رنگت, گھورنا
🙍🏿‍♂	جلد کی سیاہ رنگت, مرد, ناراضگی ظاہر کرتا ہوا مرد, گھورتا ہوا مرد, گھورتا ہوا مرد: جلد کی سیاہ رنگت, گھورنا
🙍🏻‍♀	جلد کی ہلکی رنگت, عورت, ناراضگی ظاہر کرتی ہوئی عورت, گھورتی ہوئی عورت, گھورتی ہوئی عورت: جلد کی ہلکی رنگت, گھورنا
🙍🏼‍♀	جلد کی درمیانی -ہلکی رنگت, عورت, ناراضگی ظاہر کرتی ہوئی عورت, گھورتی ہوئی عورت, گھورتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت, گھورنا
🙍🏽‍♀	جلد کی درمیانی رنگت, عورت, ناراضگی ظاہر کرتی ہوئی عورت, گھورتی ہوئی عورت, گھورتی ہوئی عورت: جلد کی درمیانی رنگت, گھورنا
🙍🏾‍♀	جلد کی درمیانی سیاہ رنگت, عورت, ناراضگی ظاہر کرتی ہوئی عورت, گھورتی ہوئی عورت, گھورتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت, گھورنا
🙍🏿‍♀	جلد کی سیاہ رنگت, عورت, ناراضگی ظاہر کرتی ہوئی عورت, گھورتی ہوئی عورت, گھورتی ہوئی عورت: جلد کی سیاہ رنگت, گھورنا
🙎🏻	اشارہ, جلد کی ہلکی رنگت, نا شاد, نا شاد شخص, نا شاد شخص: جلد کی ہلکی رنگت
🙎🏼	اشارہ, جلد کی درمیانی -ہلکی رنگت, نا شاد, نا شاد شخص, نا شاد شخص: جلد کی درمیانی -ہلکی رنگت
🙎🏽	اشارہ, جلد کی درمیانی رنگت, نا شاد, نا شاد شخص, نا شاد شخص: جلد کی درمیانی رنگت
🙎🏾	اشارہ, جلد کی درمیانی سیاہ رنگت, نا شاد, نا شاد شخص, نا شاد شخص: جلد کی درمیانی سیاہ رنگت
🙎🏿	اشارہ, جلد کی سیاہ رنگت, نا شاد, نا شاد شخص, نا شاد شخص: جلد کی سیاہ رنگت
🙎🏻‍♂	اداسی ظاہر کرنا, جلد کی ہلکی رنگت, مرد, منھ بسورنا, منہ بسورتا ہوا مرد, منہ بسورتا ہوا مرد: جلد کی ہلکی رنگت, ہونٹ دبانا
🙎🏼‍♂	اداسی ظاہر کرنا, جلد کی درمیانی -ہلکی رنگت, مرد, منھ بسورنا, منہ بسورتا ہوا مرد, منہ بسورتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت, ہونٹ دبانا
