‾	tapae
👩🏻‍❤‍💋‍👨🏾	kihi, kihi: wahine, tāne, kiri āhua māmā, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏻‍❤‍💋‍👨🏿	kihi, kihi: wahine, tāne, kiri āhua māmā, kiri āhua parauri, kiri āhua māmā, kiri āhua parauri, tokorua, tāne, wahine
👩🏼‍❤‍💋‍👨🏻	kihi, kihi: wahine, tāne, kiri āhua māmā-waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, tāne, wahine
👩🏼‍❤‍💋‍👨🏼	kihi, kihi: wahine, tāne, kiri āhua māmā-waenga, kiri āhua māmā-waenga, tokorua, tāne, wahine
👩🏼‍❤‍💋‍👨🏽	kihi, kihi: wahine, tāne, kiri āhua māmā-waenga, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tāne, wahine
👩🏼‍❤‍💋‍👨🏾	kihi, kihi: wahine, tāne, kiri āhua māmā-waenga, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏼‍❤‍💋‍👨🏿	kihi, kihi: wahine, tāne, kiri āhua māmā-waenga, kiri āhua parauri, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, tāne, wahine
👩🏽‍❤‍💋‍👨🏻	kihi, kihi: wahine, tāne, kiri āhua waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga, tokorua, tāne, wahine
👩🏽‍❤‍💋‍👨🏼	kihi, kihi: wahine, tāne, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tāne, wahine
👩🏽‍❤‍💋‍👨🏽	kihi, kihi: wahine, tāne, kiri āhua waenga, kiri āhua waenga, tokorua, tāne, wahine
👩🏽‍❤‍💋‍👨🏾	kihi, kihi: wahine, tāne, kiri āhua waenga, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏽‍❤‍💋‍👨🏿	kihi, kihi: wahine, tāne, kiri āhua waenga, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga, tokorua, tāne, wahine
👩🏾‍❤‍💋‍👨🏻	kihi, kihi: wahine, tāne, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏾‍❤‍💋‍👨🏼	kihi, kihi: wahine, tāne, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏾‍❤‍💋‍👨🏽	kihi, kihi: wahine, tāne, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏾‍❤‍💋‍👨🏾	kihi, kihi: wahine, tāne, kiri āhua waenga-parauri, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏾‍❤‍💋‍👨🏿	kihi, kihi: wahine, tāne, kiri āhua waenga-parauri, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏿‍❤‍💋‍👨🏻	kihi, kihi: wahine, tāne, kiri āhua parauri, kiri āhua māmā, kiri āhua māmā, kiri āhua parauri, tokorua, tāne, wahine
👩🏿‍❤‍💋‍👨🏼	kihi, kihi: wahine, tāne, kiri āhua parauri, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, tāne, wahine
👩🏿‍❤‍💋‍👨🏽	kihi, kihi: wahine, tāne, kiri āhua parauri, kiri āhua waenga, kiri āhua parauri, kiri āhua waenga, tokorua, tāne, wahine
👩🏿‍❤‍💋‍👨🏾	kihi, kihi: wahine, tāne, kiri āhua parauri, kiri āhua waenga-parauri, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, tāne, wahine
👩🏿‍❤‍💋‍👨🏿	kihi, kihi: wahine, tāne, kiri āhua parauri, kiri āhua parauri, tokorua, tāne, wahine
👩🏻‍❤‍💋‍👩🏻	kihi, kihi: wahine, wahine, kiri āhua māmā, kiri āhua māmā, tokorua, wahine
👩🏻‍❤‍💋‍👩🏼	kihi, kihi: wahine, wahine, kiri āhua māmā, kiri āhua māmā-waenga, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, wahine
👩🏻‍❤‍💋‍👩🏽	kihi, kihi: wahine, wahine, kiri āhua māmā, kiri āhua waenga, kiri āhua māmā, kiri āhua waenga, tokorua, wahine
👩🏻‍❤‍💋‍👩🏾	kihi, kihi: wahine, wahine, kiri āhua māmā, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, wahine
👩🏻‍❤‍💋‍👩🏿	kihi, kihi: wahine, wahine, kiri āhua māmā, kiri āhua parauri, kiri āhua māmā, kiri āhua parauri, tokorua, wahine
👩🏼‍❤‍💋‍👩🏻	kihi, kihi: wahine, wahine, kiri āhua māmā-waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, wahine
👩🏼‍❤‍💋‍👩🏼	kihi, kihi: wahine, wahine, kiri āhua māmā-waenga, kiri āhua māmā-waenga, tokorua, wahine
👩🏼‍❤‍💋‍👩🏽	kihi, kihi: wahine, wahine, kiri āhua māmā-waenga, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, wahine
👩🏼‍❤‍💋‍👩🏾	kihi, kihi: wahine, wahine, kiri āhua māmā-waenga, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, wahine
👩🏼‍❤‍💋‍👩🏿	kihi, kihi: wahine, wahine, kiri āhua māmā-waenga, kiri āhua parauri, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, wahine
👩🏽‍❤‍💋‍👩🏻	kihi, kihi: wahine, wahine, kiri āhua waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga, tokorua, wahine
👩🏽‍❤‍💋‍👩🏼	kihi, kihi: wahine, wahine, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, wahine
👩🏽‍❤‍💋‍👩🏽	kihi, kihi: wahine, wahine, kiri āhua waenga, kiri āhua waenga, tokorua, wahine
👩🏽‍❤‍💋‍👩🏾	kihi, kihi: wahine, wahine, kiri āhua waenga, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, wahine
👩🏽‍❤‍💋‍👩🏿	kihi, kihi: wahine, wahine, kiri āhua waenga, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga, tokorua, wahine
👩🏾‍❤‍💋‍👩🏻	kihi, kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, wahine
👩🏾‍❤‍💋‍👩🏼	kihi, kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, wahine
👩🏾‍❤‍💋‍👩🏽	kihi, kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, wahine
👩🏾‍❤‍💋‍👩🏾	kihi, kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua waenga-parauri, tokorua, wahine
👩🏾‍❤‍💋‍👩🏿	kihi, kihi: wahine, wahine, kiri āhua waenga-parauri, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, wahine
👩🏿‍❤‍💋‍👩🏻	kihi, kihi: wahine, wahine, kiri āhua parauri, kiri āhua māmā, kiri āhua māmā, kiri āhua parauri, tokorua, wahine
👩🏿‍❤‍💋‍👩🏼	kihi, kihi: wahine, wahine, kiri āhua parauri, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, wahine
👩🏿‍❤‍💋‍👩🏽	kihi, kihi: wahine, wahine, kiri āhua parauri, kiri āhua waenga, kiri āhua parauri, kiri āhua waenga, tokorua, wahine
👩🏿‍❤‍💋‍👩🏾	kihi, kihi: wahine, wahine, kiri āhua parauri, kiri āhua waenga-parauri, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, wahine
👩🏿‍❤‍💋‍👩🏿	kihi, kihi: wahine, wahine, kiri āhua parauri, kiri āhua parauri, tokorua, wahine
👩🏻‍❤‍👨🏻	aroha, kiri āhua māmā, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā, tāne, wahine
👩🏻‍❤‍👨🏼	aroha, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua māmā-waenga, tāne, wahine
👩🏻‍❤‍👨🏽	aroha, kiri āhua māmā, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua waenga, tāne, wahine
👩🏻‍❤‍👨🏾	aroha, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua waenga-parauri, tāne, wahine
👩🏻‍❤‍👨🏿	aroha, kiri āhua māmā, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā, kiri āhua parauri, tāne, wahine
👩🏼‍❤‍👨🏻	aroha, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua māmā, tāne, wahine
👩🏼‍❤‍👨🏼	aroha, kiri āhua māmā-waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, tāne, wahine
👩🏼‍❤‍👨🏽	aroha, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua waenga, tāne, wahine
👩🏼‍❤‍👨🏾	aroha, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tāne, wahine
👩🏼‍❤‍👨🏿	aroha, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua māmā-waenga, kiri āhua parauri, tāne, wahine
👩🏽‍❤‍👨🏻	aroha, kiri āhua māmā, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua māmā, tāne, wahine
👩🏽‍❤‍👨🏼	aroha, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua māmā-waenga, tāne, wahine
👩🏽‍❤‍👨🏽	aroha, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga, tāne, wahine
👩🏽‍❤‍👨🏾	aroha, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua waenga-parauri, tāne, wahine
👩🏽‍❤‍👨🏿	aroha, kiri āhua parauri, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga, kiri āhua parauri, tāne, wahine
👩🏾‍❤‍👨🏻	aroha, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua māmā, tāne, wahine
👩🏾‍❤‍👨🏼	aroha, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua māmā-waenga, tāne, wahine
👩🏾‍❤‍👨🏽	aroha, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua waenga, tāne, wahine
👩🏾‍❤‍👨🏾	aroha, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, tāne, wahine
👩🏾‍❤‍👨🏿	aroha, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua waenga-parauri, kiri āhua parauri, tāne, wahine
👩🏿‍❤‍👨🏻	aroha, kiri āhua māmā, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua māmā, tāne, wahine
👩🏿‍❤‍👨🏼	aroha, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua māmā-waenga, tāne, wahine
👩🏿‍❤‍👨🏽	aroha, kiri āhua parauri, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua waenga, tāne, wahine
👩🏿‍❤‍👨🏾	aroha, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua parauri, kiri āhua waenga-parauri, tāne, wahine
👩🏿‍❤‍👨🏿	aroha, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, kiri āhua parauri, tāne, wahine
👩🏻‍❤‍👩🏻	aroha, kiri āhua māmā, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā, wahine
👩🏻‍❤‍👩🏼	aroha, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua māmā-waenga, wahine
👩🏻‍❤‍👩🏽	aroha, kiri āhua māmā, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua waenga, wahine
👩🏻‍❤‍👩🏾	aroha, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua waenga-parauri, wahine
👩🏻‍❤‍👩🏿	aroha, kiri āhua māmā, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā, kiri āhua parauri, wahine
👩🏼‍❤‍👩🏻	aroha, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua māmā, wahine
👩🏼‍❤‍👩🏼	aroha, kiri āhua māmā-waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, wahine
👩🏼‍❤‍👩🏽	aroha, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua waenga, wahine
👩🏼‍❤‍👩🏾	aroha, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua waenga-parauri, wahine
👩🏼‍❤‍👩🏿	aroha, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua māmā-waenga, kiri āhua parauri, wahine
👩🏽‍❤‍👩🏻	aroha, kiri āhua māmā, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua māmā, wahine
👩🏽‍❤‍👩🏼	aroha, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua māmā-waenga, wahine
👩🏽‍❤‍👩🏽	aroha, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga, wahine
👩🏽‍❤‍👩🏾	aroha, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua waenga-parauri, wahine
👩🏽‍❤‍👩🏿	aroha, kiri āhua parauri, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga, kiri āhua parauri, wahine
👩🏾‍❤‍👩🏻	aroha, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā, wahine
👩🏾‍❤‍👩🏼	aroha, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua māmā-waenga, wahine
👩🏾‍❤‍👩🏽	aroha, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua waenga, wahine
👩🏾‍❤‍👩🏾	aroha, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, wahine
👩🏾‍❤‍👩🏿	aroha, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua waenga-parauri, kiri āhua parauri, wahine
👩🏿‍❤‍👩🏻	aroha, kiri āhua māmā, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua māmā, wahine
👩🏿‍❤‍👩🏼	aroha, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua māmā-waenga, wahine
👩🏿‍❤‍👩🏽	aroha, kiri āhua parauri, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua waenga, wahine
👩🏿‍❤‍👩🏾	aroha, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua parauri, kiri āhua waenga-parauri, wahine
👩🏿‍❤‍👩🏿	aroha, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, kiri āhua parauri, wahine
🧓	ira-kūpapa, kaumātua
🧓🏻	ira-kūpapa, kaumātua, kaumātua: kiri āhua māmā, kiri āhua māmā
🧓🏼	ira-kūpapa, kaumātua, kaumātua: kiri āhua māmā-waenga, kiri āhua māmā-waenga
🧓🏽	ira-kūpapa, kaumātua, kaumātua: kiri āhua waenga, kiri āhua waenga
🧓🏾	ira-kūpapa, kaumātua, kaumātua: kiri āhua waenga-parauri, kiri āhua waenga-parauri
🧓🏿	ira-kūpapa, kaumātua, kaumātua: kiri āhua parauri, kiri āhua parauri
👴	kaumātua, koroua, tāne
👴🏻	kaumātua, kiri āhua māmā, koroua, koroua: kiri āhua māmā, tāne
👴🏼	kaumātua, kiri āhua māmā-waenga, koroua, koroua: kiri āhua māmā-waenga, tāne
👴🏽	kaumātua, kiri āhua waenga, koroua, koroua: kiri āhua waenga, tāne
👴🏾	kaumātua, kiri āhua waenga-parauri, koroua, koroua: kiri āhua waenga-parauri, tāne
👴🏿	kaumātua, kiri āhua parauri, koroua, koroua: kiri āhua parauri, tāne
👵	kaumātua, kuia, wahine
👵🏻	kaumātua, kiri āhua māmā, kuia, kuia: kiri āhua māmā, wahine
👵🏼	kaumātua, kiri āhua māmā-waenga, kuia, kuia: kiri āhua māmā-waenga, wahine
👵🏽	kaumātua, kiri āhua waenga, kuia, kuia: kiri āhua waenga, wahine
👵🏾	kaumātua, kiri āhua waenga-parauri, kuia, kuia: kiri āhua waenga-parauri, wahine
👵🏿	kaumātua, kiri āhua parauri, kuia, kuia: kiri āhua parauri, wahine
🙍	poururu, tangata poururu, tohu ā-ringa
🙍🏻	kiri āhua māmā, poururu, tangata poururu, tangata poururu: kiri āhua māmā, tohu ā-ringa
🙍🏼	kiri āhua māmā-waenga, poururu, tangata poururu, tangata poururu: kiri āhua māmā-waenga, tohu ā-ringa
🙍🏽	kiri āhua waenga, poururu, tangata poururu, tangata poururu: kiri āhua waenga, tohu ā-ringa
🙍🏾	kiri āhua waenga-parauri, poururu, tangata poururu, tangata poururu: kiri āhua waenga-parauri, tohu ā-ringa
🙍🏿	kiri āhua parauri, poururu, tangata poururu, tangata poururu: kiri āhua parauri, tohu ā-ringa
🙍‍♂	poururu, tohu ā-ringa, tāne, tāne poururu
🙍🏻‍♂	kiri āhua māmā, poururu, tohu ā-ringa, tāne, tāne poururu: kiri āhua māmā
🙍🏼‍♂	kiri āhua māmā-waenga, poururu, tohu ā-ringa, tāne, tāne poururu: kiri āhua māmā-waenga
🙍🏽‍♂	kiri āhua waenga, poururu, tohu ā-ringa, tāne, tāne poururu: kiri āhua waenga
🙍🏾‍♂	kiri āhua waenga-parauri, poururu, tohu ā-ringa, tāne, tāne poururu: kiri āhua waenga-parauri
🙍🏿‍♂	kiri āhua parauri, poururu, tohu ā-ringa, tāne, tāne poururu: kiri āhua parauri
🙍‍♀	poururu, tohu ā-ringa, wahine, wahine poururu
🙍🏻‍♀	kiri āhua māmā, poururu, tohu ā-ringa, wahine, wahine poururu: kiri āhua māmā
🙍🏼‍♀	kiri āhua māmā-waenga, poururu, tohu ā-ringa, wahine, wahine poururu: kiri āhua māmā-waenga
🙍🏽‍♀	kiri āhua waenga, poururu, tohu ā-ringa, wahine, wahine poururu: kiri āhua waenga
🙍🏾‍♀	kiri āhua waenga-parauri, poururu, tohu ā-ringa, wahine, wahine poururu: kiri āhua waenga-parauri
🙍🏿‍♀	kiri āhua parauri, poururu, tohu ā-ringa, wahine, wahine poururu: kiri āhua parauri
🙎	tangata tupere, tohu ā-ringa, tupere
🙎🏻	kiri āhua māmā, tangata tupere, tangata tupere: kiri āhua māmā, tohu ā-ringa, tupere
🙎🏼	kiri āhua māmā-waenga, tangata tupere, tangata tupere: kiri āhua māmā-waenga, tohu ā-ringa, tupere
🙎🏽	kiri āhua waenga, tangata tupere, tangata tupere: kiri āhua waenga, tohu ā-ringa, tupere
🙎🏾	kiri āhua waenga-parauri, tangata tupere, tangata tupere: kiri āhua waenga-parauri, tohu ā-ringa, tupere
🙎🏿	kiri āhua parauri, tangata tupere, tangata tupere: kiri āhua parauri, tohu ā-ringa, tupere
🙎‍♂	tohu ā-ringa, tupere, tāne, tāne tupere
🙎🏻‍♂	kiri āhua māmā, tohu ā-ringa, tupere, tāne, tāne tupere: kiri āhua māmā
🙎🏼‍♂	kiri āhua māmā-waenga, tohu ā-ringa, tupere, tāne, tāne tupere: kiri āhua māmā-waenga
🙎🏽‍♂	kiri āhua waenga, tohu ā-ringa, tupere, tāne, tāne tupere: kiri āhua waenga
🙎🏾‍♂	kiri āhua waenga-parauri, tohu ā-ringa, tupere, tāne, tāne tupere: kiri āhua waenga-parauri
🙎🏿‍♂	kiri āhua parauri, tohu ā-ringa, tupere, tāne, tāne tupere: kiri āhua parauri
🙎‍♀	tohu ā-ringa, tupere, wahine, wahine tupere
🙎🏻‍♀	kiri āhua māmā, tohu ā-ringa, tupere, wahine, wahine tupere: kiri āhua māmā
🙎🏼‍♀	kiri āhua māmā-waenga, tohu ā-ringa, tupere, wahine, wahine tupere: kiri āhua māmā-waenga
🙎🏽‍♀	kiri āhua waenga, tohu ā-ringa, tupere, wahine, wahine tupere: kiri āhua waenga
🙎🏾‍♀	kiri āhua waenga-parauri, tohu ā-ringa, tupere, wahine, wahine tupere: kiri āhua waenga-parauri
🙎🏿‍♀	kiri āhua parauri, tohu ā-ringa, tupere, wahine, wahine tupere: kiri āhua parauri
🙅	kore, kāo, ringa, tangata tohu ana KĀO, tohu ā-ringa, whakakore, whakakāhore
🙅🏻	kiri āhua māmā, kore, kāo, ringa, tangata tohu ana KĀO, tangata tohu ana KĀO: kiri āhua māmā, tohu ā-ringa, whakakore, whakakāhore
🙅🏼	kiri āhua māmā-waenga, kore, kāo, ringa, tangata tohu ana KĀO, tangata tohu ana KĀO: kiri āhua māmā-waenga, tohu ā-ringa, whakakore, whakakāhore
🙅🏽	kiri āhua waenga, kore, kāo, ringa, tangata tohu ana KĀO, tangata tohu ana KĀO: kiri āhua waenga, tohu ā-ringa, whakakore, whakakāhore
🙅🏾	kiri āhua waenga-parauri, kore, kāo, ringa, tangata tohu ana KĀO, tangata tohu ana KĀO: kiri āhua waenga-parauri, tohu ā-ringa, whakakore, whakakāhore
🙅🏿	kiri āhua parauri, kore, kāo, ringa, tangata tohu ana KĀO, tangata tohu ana KĀO: kiri āhua parauri, tohu ā-ringa, whakakore, whakakāhore
🙅‍♂	kore, kāo, ringa, tohu ā-ringa, tāne, tāne tohu ana KĀO, whakakore, whakakāhore
🙅🏻‍♂	kiri āhua māmā, kore, kāo, ringa, tohu ā-ringa, tāne, tāne tohu ana KĀO, tāne tohu ana KĀO: kiri āhua māmā, whakakore, whakakāhore
🙅🏼‍♂	kiri āhua māmā-waenga, kore, kāo, ringa, tohu ā-ringa, tāne, tāne tohu ana KĀO, tāne tohu ana KĀO: kiri āhua māmā-waenga, whakakore, whakakāhore
🙅🏽‍♂	kiri āhua waenga, kore, kāo, ringa, tohu ā-ringa, tāne, tāne tohu ana KĀO, tāne tohu ana KĀO: kiri āhua waenga, whakakore, whakakāhore
🙅🏾‍♂	kiri āhua waenga-parauri, kore, kāo, ringa, tohu ā-ringa, tāne, tāne tohu ana KĀO, tāne tohu ana KĀO: kiri āhua waenga-parauri, whakakore, whakakāhore
🙅🏿‍♂	kiri āhua parauri, kore, kāo, ringa, tohu ā-ringa, tāne, tāne tohu ana KĀO, tāne tohu ana KĀO: kiri āhua parauri, whakakore, whakakāhore
🙅‍♀	kore, kāo, ringa, tohu ā-ringa, wahine, wahine tohu ana KĀO, whakakore, whakakāhore
🙅🏻‍♀	kiri āhua māmā, kore, kāo, ringa, tohu ā-ringa, wahine, wahine tohu ana KĀO, wahine tohu ana KĀO: kiri āhua māmā, whakakore, whakakāhore
🙅🏼‍♀	kiri āhua māmā-waenga, kore, kāo, ringa, tohu ā-ringa, wahine, wahine tohu ana KĀO, wahine tohu ana KĀO: kiri āhua māmā-waenga, whakakore, whakakāhore
🙅🏽‍♀	kiri āhua waenga, kore, kāo, ringa, tohu ā-ringa, wahine, wahine tohu ana KĀO, wahine tohu ana KĀO: kiri āhua waenga, whakakore, whakakāhore
🙅🏾‍♀	kiri āhua waenga-parauri, kore, kāo, ringa, tohu ā-ringa, wahine, wahine tohu ana KĀO, wahine tohu ana KĀO: kiri āhua waenga-parauri, whakakore, whakakāhore
🙅🏿‍♀	kiri āhua parauri, kore, kāo, ringa, tohu ā-ringa, wahine, wahine tohu ana KĀO, wahine tohu ana KĀO: kiri āhua parauri, whakakore, whakakāhore
🙆	ringa, tangata tohu ana ĀE, tohu ā-ringa, ĀE
🙆🏻	kiri āhua māmā, ringa, tangata tohu ana ĀE, tangata tohu ana ĀE: kiri āhua māmā, tohu ā-ringa, ĀE
🙆🏼	kiri āhua māmā-waenga, ringa, tangata tohu ana ĀE, tangata tohu ana ĀE: kiri āhua māmā-waenga, tohu ā-ringa, ĀE
🙆🏽	kiri āhua waenga, ringa, tangata tohu ana ĀE, tangata tohu ana ĀE: kiri āhua waenga, tohu ā-ringa, ĀE
🙆🏾	kiri āhua waenga-parauri, ringa, tangata tohu ana ĀE, tangata tohu ana ĀE: kiri āhua waenga-parauri, tohu ā-ringa, ĀE
