‾	apɔju
👩🏼‍❤‍👨🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, amɔ́lára díɛ̀, adúláwɔ̀, Obìnrin, adúláwɔ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏽‍❤‍👨🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, amɔ́láwɔ̀ díɛ̀, amɔ́lára, Obìnrin, amɔ́lára, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏽‍❤‍👨🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, amɔ́láwɔ̀ díɛ̀, amɔ́lára díɛ̀, Obìnrin, amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏽‍❤‍👨🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, amɔ́láwɔ̀ díɛ̀, Obìnrin, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏽‍❤‍👨🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, amɔ́láwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏽‍❤‍👨🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, amɔ́láwɔ̀ díɛ̀, adúláwɔ̀, Obìnrin, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏾‍❤‍👨🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀ díɛ̀, amɔ́lára, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏾‍❤‍👨🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏾‍❤‍👨🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏾‍❤‍👨🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏾‍❤‍👨🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀ díɛ̀, adúláwɔ̀, Obìnrin, adúláwɔ̀, adúláwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏿‍❤‍👨🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀, amɔ́lára, Obìnrin, adúláwɔ̀, amɔ́lára, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏿‍❤‍👨🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀, amɔ́lára díɛ̀, Obìnrin, adúláwɔ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏿‍❤‍👨🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏿‍❤‍👨🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀, adúláwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏿‍❤‍👨🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, adúláwɔ̀, Obìnrin, adúláwɔ̀, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩🏻‍❤‍👩🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára, Obìnrin, amɔ́lára, tɔkɔtaya, ìfɛ́
👩🏻‍❤‍👩🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára, amɔ́lára díɛ̀, Obìnrin, amɔ́lára, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
👩🏻‍❤‍👩🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára, amɔ́láwɔ̀ díɛ̀, Obìnrin, amɔ́lára, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏻‍❤‍👩🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára, tɔkɔtaya, ìfɛ́
👩🏻‍❤‍👩🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára, adúláwɔ̀, Obìnrin, adúláwɔ̀, amɔ́lára, tɔkɔtaya, ìfɛ́
👩🏼‍❤‍👩🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára díɛ̀, amɔ́lára, Obìnrin, amɔ́lára, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
👩🏼‍❤‍👩🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára díɛ̀, Obìnrin, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
👩🏼‍❤‍👩🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, Obìnrin, amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏼‍❤‍👩🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára díɛ̀, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
👩🏼‍❤‍👩🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́lára díɛ̀, adúláwɔ̀, Obìnrin, adúláwɔ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
👩🏽‍❤‍👩🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́láwɔ̀ díɛ̀, amɔ́lára, Obìnrin, amɔ́lára, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏽‍❤‍👩🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́láwɔ̀ díɛ̀, amɔ́lára díɛ̀, Obìnrin, amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏽‍❤‍👩🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́láwɔ̀ díɛ̀, Obìnrin, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏽‍❤‍👩🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́láwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏽‍❤‍👩🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, amɔ́láwɔ̀ díɛ̀, adúláwɔ̀, Obìnrin, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏾‍❤‍👩🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára, tɔkɔtaya, ìfɛ́
👩🏾‍❤‍👩🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
👩🏾‍❤‍👩🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏾‍❤‍👩🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏾‍❤‍👩🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀ díɛ̀, adúláwɔ̀, Obìnrin, adúláwɔ̀, adúláwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏿‍❤‍👩🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀, amɔ́lára, Obìnrin, adúláwɔ̀, amɔ́lára, tɔkɔtaya, ìfɛ́
👩🏿‍❤‍👩🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀, amɔ́lára díɛ̀, Obìnrin, adúláwɔ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
👩🏿‍❤‍👩🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏿‍❤‍👩🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀, adúláwɔ̀ díɛ̀, Obìnrin, adúláwɔ̀, adúláwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
👩🏿‍❤‍👩🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, adúláwɔ̀, Obìnrin, adúláwɔ̀, tɔkɔtaya, ìfɛ́
🧓	arúgbó, gé̩ndà-shekushɛyɛ, àgbàlagbà
🧓🏻	amɔ́lára, arúgbó, gé̩ndà-shekushɛyɛ, àgbàlagbà, àgbàlagbà: amɔ́lára
🧓🏼	amɔ́lára díɛ̀, arúgbó, gé̩ndà-shekushɛyɛ, àgbàlagbà, àgbàlagbà: amɔ́lára díɛ̀
🧓🏽	amɔ́láwɔ̀ díɛ̀, arúgbó, gé̩ndà-shekushɛyɛ, àgbàlagbà, àgbàlagbà: amɔ́láwɔ̀ díɛ̀
🧓🏾	adúláwɔ̀ díɛ̀, arúgbó, gé̩ndà-shekushɛyɛ, àgbàlagbà, àgbàlagbà: adúláwɔ̀ díɛ̀
🧓🏿	adúláwɔ̀, arúgbó, gé̩ndà-shekushɛyɛ, àgbàlagbà, àgbàlagbà: adúláwɔ̀
👴	Agbalagba Ɔkunrin, àgbàlagbà, ɔkùnrin
👴🏻	Agbalagba Ɔkunrin, Agbalagba Ɔkunrin: amɔ́lára, amɔ́lára, àgbàlagbà, ɔkùnrin
👴🏼	Agbalagba Ɔkunrin, Agbalagba Ɔkunrin: amɔ́lára díɛ̀, amɔ́lára díɛ̀, àgbàlagbà, ɔkùnrin
👴🏽	Agbalagba Ɔkunrin, Agbalagba Ɔkunrin: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, àgbàlagbà, ɔkùnrin
👴🏾	Agbalagba Ɔkunrin, Agbalagba Ɔkunrin: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, àgbàlagbà, ɔkùnrin
👴🏿	Agbalagba Ɔkunrin, Agbalagba Ɔkunrin: adúláwɔ̀, adúláwɔ̀, àgbàlagbà, ɔkùnrin
👵🏻	Agbalagba Obinrin, Agbalagba Obinrin: amɔ́lára, agbalagba, amɔ́lára, obinrin
👵🏼	Agbalagba Obinrin, Agbalagba Obinrin: amɔ́lára díɛ̀, agbalagba, amɔ́lára díɛ̀, obinrin
👵🏽	Agbalagba Obinrin, Agbalagba Obinrin: amɔ́láwɔ̀ díɛ̀, agbalagba, amɔ́láwɔ̀ díɛ̀, obinrin
👵🏾	Agbalagba Obinrin, Agbalagba Obinrin: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, agbalagba, obinrin
👵🏿	Agbalagba Obinrin, Agbalagba Obinrin: adúláwɔ̀, adúláwɔ̀, agbalagba, obinrin
🙍	fajúro, fɔwɔ́júwè, Ɛni N Bojujɛ
🙍🏻	amɔ́lára, fajúro, fɔwɔ́júwè, Ɛni N Bojujɛ, Ɛni N Bojujɛ: amɔ́lára
🙍🏼	amɔ́lára díɛ̀, fajúro, fɔwɔ́júwè, Ɛni N Bojujɛ, Ɛni N Bojujɛ: amɔ́lára díɛ̀
🙍🏽	amɔ́láwɔ̀ díɛ̀, fajúro, fɔwɔ́júwè, Ɛni N Bojujɛ, Ɛni N Bojujɛ: amɔ́láwɔ̀ díɛ̀
🙍🏾	adúláwɔ̀ díɛ̀, fajúro, fɔwɔ́júwè, Ɛni N Bojujɛ, Ɛni N Bojujɛ: adúláwɔ̀ díɛ̀
🙍🏿	adúláwɔ̀, fajúro, fɔwɔ́júwè, Ɛni N Bojujɛ, Ɛni N Bojujɛ: adúláwɔ̀
🙍‍♂	fífajúro, fífowɔ́júwè, ɔkùnrin, ɔkùnrin tí ń fajúro
🙍🏻‍♂	amɔ́lára, fífajúro, fífowɔ́júwè, ɔkùnrin, ɔkùnrin tí ń fajúro, ɔkùnrin tí ń fajúro: amɔ́lára
🙍🏼‍♂	amɔ́lára díɛ̀, fífajúro, fífowɔ́júwè, ɔkùnrin, ɔkùnrin tí ń fajúro, ɔkùnrin tí ń fajúro: amɔ́lára díɛ̀
🙍🏽‍♂	amɔ́láwɔ̀ díɛ̀, fífajúro, fífowɔ́júwè, ɔkùnrin, ɔkùnrin tí ń fajúro, ɔkùnrin tí ń fajúro: amɔ́láwɔ̀ díɛ̀
🙍🏾‍♂	adúláwɔ̀ díɛ̀, fífajúro, fífowɔ́júwè, ɔkùnrin, ɔkùnrin tí ń fajúro, ɔkùnrin tí ń fajúro: adúláwɔ̀ díɛ̀
🙍🏿‍♂	adúláwɔ̀, fífajúro, fífowɔ́júwè, ɔkùnrin, ɔkùnrin tí ń fajúro, ɔkùnrin tí ń fajúro: adúláwɔ̀
🙍‍♀	fífajúro, fɔwɔ́júwè, obìnrin, obìnrin tí ń fajúro
🙍🏻‍♀	amɔ́lára, fífajúro, fɔwɔ́júwè, obìnrin, obìnrin tí ń fajúro, obìnrin tí ń fajúro: amɔ́lára
🙍🏼‍♀	amɔ́lára díɛ̀, fífajúro, fɔwɔ́júwè, obìnrin, obìnrin tí ń fajúro, obìnrin tí ń fajúro: amɔ́lára díɛ̀
🙍🏽‍♀	amɔ́láwɔ̀ díɛ̀, fífajúro, fɔwɔ́júwè, obìnrin, obìnrin tí ń fajúro, obìnrin tí ń fajúro: amɔ́láwɔ̀ díɛ̀
🙍🏾‍♀	adúláwɔ̀ díɛ̀, fífajúro, fɔwɔ́júwè, obìnrin, obìnrin tí ń fajúro, obìnrin tí ń fajúro: adúláwɔ̀ díɛ̀
🙍🏿‍♀	adúláwɔ̀, fífajúro, fɔwɔ́júwè, obìnrin, obìnrin tí ń fajúro, obìnrin tí ń fajúro: adúláwɔ̀
🙎	fífowɔ́júwè, shíshù ètè síta, Ɛni Yahɔn sita
🙎🏻	amɔ́lára, fífowɔ́júwè, shíshù ètè síta, Ɛni Yahɔn sita, Ɛni Yahɔn sita: amɔ́lára
🙎🏼	amɔ́lára díɛ̀, fífowɔ́júwè, shíshù ètè síta, Ɛni Yahɔn sita, Ɛni Yahɔn sita: amɔ́lára díɛ̀
🙎🏽	amɔ́láwɔ̀ díɛ̀, fífowɔ́júwè, shíshù ètè síta, Ɛni Yahɔn sita, Ɛni Yahɔn sita: amɔ́láwɔ̀ díɛ̀
🙎🏾	adúláwɔ̀ díɛ̀, fífowɔ́júwè, shíshù ètè síta, Ɛni Yahɔn sita, Ɛni Yahɔn sita: adúláwɔ̀ díɛ̀
🙎🏿	adúláwɔ̀, fífowɔ́júwè, shíshù ètè síta, Ɛni Yahɔn sita, Ɛni Yahɔn sita: adúláwɔ̀
🙎‍♂	fowɔ́júwè, shíshù ètè síta, ɔkùnrin, ɔkùnrin tí ń shíshù ètè síta
🙎🏻‍♂	amɔ́lára, fowɔ́júwè, shíshù ètè síta, ɔkùnrin, ɔkùnrin tí ń shíshù ètè síta, ɔkùnrin tí ń shíshù ètè síta: amɔ́lára
🙎🏼‍♂	amɔ́lára díɛ̀, fowɔ́júwè, shíshù ètè síta, ɔkùnrin, ɔkùnrin tí ń shíshù ètè síta, ɔkùnrin tí ń shíshù ètè síta: amɔ́lára díɛ̀
🙎🏽‍♂	amɔ́láwɔ̀ díɛ̀, fowɔ́júwè, shíshù ètè síta, ɔkùnrin, ɔkùnrin tí ń shíshù ètè síta, ɔkùnrin tí ń shíshù ètè síta: amɔ́láwɔ̀ díɛ̀
🙎🏾‍♂	adúláwɔ̀ díɛ̀, fowɔ́júwè, shíshù ètè síta, ɔkùnrin, ɔkùnrin tí ń shíshù ètè síta, ɔkùnrin tí ń shíshù ètè síta: adúláwɔ̀ díɛ̀
🙎🏿‍♂	adúláwɔ̀, fowɔ́júwè, shíshù ètè síta, ɔkùnrin, ɔkùnrin tí ń shíshù ètè síta, ɔkùnrin tí ń shíshù ètè síta: adúláwɔ̀
🙎‍♀	fowɔ́júwè, obìnrin, obìnrin tí ń shíshù ètè síta, shíshù ètè síta
🙎🏻‍♀	amɔ́lára, fowɔ́júwè, obìnrin, obìnrin tí ń shíshù ètè síta, obìnrin tí ń shíshù ètè síta: amɔ́lára, shíshù ètè síta
🙎🏼‍♀	amɔ́lára díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń shíshù ètè síta, obìnrin tí ń shíshù ètè síta: amɔ́lára díɛ̀, shíshù ètè síta
🙎🏽‍♀	amɔ́láwɔ̀ díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń shíshù ètè síta, obìnrin tí ń shíshù ètè síta: amɔ́láwɔ̀ díɛ̀, shíshù ètè síta
🙎🏾‍♀	adúláwɔ̀ díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń shíshù ètè síta, obìnrin tí ń shíshù ètè síta: adúláwɔ̀ díɛ̀, shíshù ètè síta
🙎🏿‍♀	adúláwɔ̀, fowɔ́júwè, obìnrin, obìnrin tí ń shíshù ètè síta, obìnrin tí ń shíshù ètè síta: adúláwɔ̀, shíshù ètè síta
🙅	fowɔ́júwè, rárá, èwɔ̀, Ɛni Nsɔ RARA, ɔwɔ́
🙅🏻	amɔ́lára, fowɔ́júwè, rárá, èwɔ̀, Ɛni Nsɔ RARA, Ɛni Nsɔ RARA: amɔ́lára, ɔwɔ́
🙅🏼	amɔ́lára díɛ̀, fowɔ́júwè, rárá, èwɔ̀, Ɛni Nsɔ RARA, Ɛni Nsɔ RARA: amɔ́lára díɛ̀, ɔwɔ́
🙅🏽	amɔ́láwɔ̀ díɛ̀, fowɔ́júwè, rárá, èwɔ̀, Ɛni Nsɔ RARA, Ɛni Nsɔ RARA: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
🙅🏾	adúláwɔ̀ díɛ̀, fowɔ́júwè, rárá, èwɔ̀, Ɛni Nsɔ RARA, Ɛni Nsɔ RARA: adúláwɔ̀ díɛ̀, ɔwɔ́
🙅🏿	adúláwɔ̀, fowɔ́júwè, rárá, èwɔ̀, Ɛni Nsɔ RARA, Ɛni Nsɔ RARA: adúláwɔ̀, ɔwɔ́
🙅‍♂	fowɔ́júwè, rárá, èwɔ̀, ɔkùnrin tí ń sɔ RÁRÁ, ɔwɔ́
🙅🏻‍♂	amɔ́lára, fowɔ́júwè, rárá, èwɔ̀, ɔkùnrin tí ń sɔ RÁRÁ, ɔkùnrin tí ń sɔ RÁRÁ: amɔ́lára, ɔwɔ́
🙅🏼‍♂	amɔ́lára díɛ̀, fowɔ́júwè, rárá, èwɔ̀, ɔkùnrin tí ń sɔ RÁRÁ, ɔkùnrin tí ń sɔ RÁRÁ: amɔ́lára díɛ̀, ɔwɔ́
🙅🏽‍♂	amɔ́láwɔ̀ díɛ̀, fowɔ́júwè, rárá, èwɔ̀, ɔkùnrin tí ń sɔ RÁRÁ, ɔkùnrin tí ń sɔ RÁRÁ: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
🙅🏾‍♂	adúláwɔ̀ díɛ̀, fowɔ́júwè, rárá, èwɔ̀, ɔkùnrin tí ń sɔ RÁRÁ, ɔkùnrin tí ń sɔ RÁRÁ: adúláwɔ̀ díɛ̀, ɔwɔ́
🙅🏿‍♂	adúláwɔ̀, fowɔ́júwè, rárá, èwɔ̀, ɔkùnrin tí ń sɔ RÁRÁ, ɔkùnrin tí ń sɔ RÁRÁ: adúláwɔ̀, ɔwɔ́
🙅‍♀	fowɔ́júwè, obìnrin, obìnrin tí ń sɔ RÁRÁ, rárá, èwɔ̀, ɔwɔ́
🙅🏻‍♀	amɔ́lára, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ RÁRÁ, obìnrin tí ń sɔ RÁRÁ: amɔ́lára, rárá, èwɔ̀, ɔwɔ́
🙅🏼‍♀	amɔ́lára díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ RÁRÁ, obìnrin tí ń sɔ RÁRÁ: amɔ́lára díɛ̀, rárá, èwɔ̀, ɔwɔ́
🙅🏽‍♀	amɔ́láwɔ̀ díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ RÁRÁ, obìnrin tí ń sɔ RÁRÁ: amɔ́láwɔ̀ díɛ̀, rárá, èwɔ̀, ɔwɔ́
🙅🏾‍♀	adúláwɔ̀ díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ RÁRÁ, obìnrin tí ń sɔ RÁRÁ: adúláwɔ̀ díɛ̀, rárá, èwɔ̀, ɔwɔ́
🙅🏿‍♀	adúláwɔ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ RÁRÁ, obìnrin tí ń sɔ RÁRÁ: adúláwɔ̀, rárá, èwɔ̀, ɔwɔ́
🙆	fowɔ́júwè, ÓDÁRA, Ɛni Nsɔ O DARA, ɔwɔ́
🙆🏻	amɔ́lára, fowɔ́júwè, ÓDÁRA, Ɛni Nsɔ O DARA, Ɛni Nsɔ O DARA: amɔ́lára, ɔwɔ́
🙆🏼	amɔ́lára díɛ̀, fowɔ́júwè, ÓDÁRA, Ɛni Nsɔ O DARA, Ɛni Nsɔ O DARA: amɔ́lára díɛ̀, ɔwɔ́
🙆🏽	amɔ́láwɔ̀ díɛ̀, fowɔ́júwè, ÓDÁRA, Ɛni Nsɔ O DARA, Ɛni Nsɔ O DARA: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
🙆🏾	adúláwɔ̀ díɛ̀, fowɔ́júwè, ÓDÁRA, Ɛni Nsɔ O DARA, Ɛni Nsɔ O DARA: adúláwɔ̀ díɛ̀, ɔwɔ́
🙆🏿	adúláwɔ̀, fowɔ́júwè, ÓDÁRA, Ɛni Nsɔ O DARA, Ɛni Nsɔ O DARA: adúláwɔ̀, ɔwɔ́
🙆‍♂	fowɔ́júwé, ÓDÁRA, ɔkùnrin, ɔkùnrin tí ń sɔ ÓDÁRA, ɔwɔ́
🙆🏻‍♂	amɔ́lára, fowɔ́júwé, ÓDÁRA, ɔkùnrin, ɔkùnrin tí ń sɔ ÓDÁRA, ɔkùnrin tí ń sɔ ÓDÁRA: amɔ́lára, ɔwɔ́
🙆🏼‍♂	amɔ́lára díɛ̀, fowɔ́júwé, ÓDÁRA, ɔkùnrin, ɔkùnrin tí ń sɔ ÓDÁRA, ɔkùnrin tí ń sɔ ÓDÁRA: amɔ́lára díɛ̀, ɔwɔ́
🙆🏽‍♂	amɔ́láwɔ̀ díɛ̀, fowɔ́júwé, ÓDÁRA, ɔkùnrin, ɔkùnrin tí ń sɔ ÓDÁRA, ɔkùnrin tí ń sɔ ÓDÁRA: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
🙆🏾‍♂	adúláwɔ̀ díɛ̀, fowɔ́júwé, ÓDÁRA, ɔkùnrin, ɔkùnrin tí ń sɔ ÓDÁRA, ɔkùnrin tí ń sɔ ÓDÁRA: adúláwɔ̀ díɛ̀, ɔwɔ́
🙆🏿‍♂	adúláwɔ̀, fowɔ́júwé, ÓDÁRA, ɔkùnrin, ɔkùnrin tí ń sɔ ÓDÁRA, ɔkùnrin tí ń sɔ ÓDÁRA: adúláwɔ̀, ɔwɔ́
🙆‍♀	fowɔ́júwè, obìnrin, obìnrin tí ń sɔ ÓDÁRA, ÓDÁRA, ɔwɔ́
🙆🏻‍♀	amɔ́lára, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ ÓDÁRA, obìnrin tí ń sɔ ÓDÁRA: amɔ́lára, ÓDÁRA, ɔwɔ́
